route_id,agency_id,route_short_name,route_long_name,route_type
A100,TCBMYBIPH,BANDARAYA IPOH,BANDARAYA IPOH,3
A101A,TCBMYBIPH,STESEN BAS MEDAN KIDD - BERCHAM VIA TAMAN IPOH,STESEN BAS MEDAN KIDD - BERCHAM VIA TAMAN IPOH,3
A101B,TCBMYBIPH,STESEN BAS MEDAN KIDD - BERCHAM VIA KG SIMEE,STESEN BAS MEDAN KIDD - BERCHAM VIA KG SIMEE,3
A102,TCBMYBIPH,STESEN BAS MEDAN KIDD-MANJOI-BUNTONG,STESEN BAS MEDAN KIDD-MANJOI-BUNTONG,3
A103,TCBMYBIPH,STESEN BAS MEDAN KIDD-CHEMPAKA-AMPANG,STESEN BAS MEDAN KIDD-CHEMPAKA-AMPANG,3
A30A,TCBMYBIPH,TERMINAL MEDAN KIDD - TERMINAL AMANJAYA,TERMINAL MEDAN KIDD - TERMINAL AMANJAYA,3
A30B,TCBMYBIPH,TERMINAL MEDAN KIDD - TERMINAL AMANJAYA - CHEMOR,TERMINAL MEDAN KIDD - TERMINAL AMANJAYA - CHEMOR,3
A31A,TCBMYBIPH,TERMINAL MEDAN KIDD - KUALA KANGSAR VIA BUKIT GANTANG,TERMINAL MEDAN KIDD - KUALA KANGSAR VIA BUKIT GANTANG,3
A31B,TCBMYBIPH,TERMINAL MEDAN KIDD - KUALA KANGSAR VIA JALAN TUN RAZAK,TERMINAL MEDAN KIDD - KUALA KANGSAR VIA JALAN TUN RAZAK,3
A31X,TCBMYBIPH,STESEN BAS MEDAN KIDD - KANTHAN 3,STESEN BAS MEDAN KIDD - KANTHAN 3,3
A32,TCBMYBIPH,MEDAN KIDD - TANJUNG RAMBUTAN VIA BERCHAM,MEDAN KIDD - TANJUNG RAMBUTAN VIA BERCHAM,3
A33A,TCBMYBIPH,MEDAN KIDD -TANJUNG RAMBUTAN -CHEMOR,MEDAN KIDD -TANJUNG RAMBUTAN -CHEMOR,3
A33B,TCBMYBIPH,MEDAN KIDD-TANJUNG RAMBUTAN,MEDAN KIDD-TANJUNG RAMBUTAN,3
A34,TCBMYBIPH,TERMINAL MEDAN KIDD- GOPENG - KAMPAR,TERMINAL MEDAN KIDD- GOPENG - KAMPAR,3
A35,TCBMYBIPH,MEDAN KIDD-PASIR PUTEH-PENGKALAN SENTOSA,MEDAN KIDD-PASIR PUTEH-PENGKALAN SENTOSA,3
A36,TCBMYBIPH,MEDAN KIDD-BATU GAJAH-SRI ISKANDAR,MEDAN KIDD-BATU GAJAH-SRI ISKANDAR,3
A37,TCBMYBIPH,MEDAN KIDD-LTSAS-TAMAN BOTANI,MEDAN KIDD-LTSAS-TAMAN BOTANI,3
