shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
R2402001,4.5942240,101.0723600,1
R2402001,4.5975251,101.0704368,2
R2402001,4.5990591,101.0703603,3
R2402001,4.6019846,101.0689266,4
R2402001,4.6061180,101.0646862,5
R2402001,4.6074922,101.0624009,6
R2402001,4.6099866,101.0584500,7
R2402001,4.6104293,101.0577445,8
R2402001,4.6124275,101.0566288,9
R2402001,4.6144487,101.0571492,10
R2402001,4.6170610,101.0575172,11
R2402001,4.6185114,101.0581305,12
R2402001,4.6213413,101.0593027,13
R2402001,4.6244155,101.0604966,14
R2402001,4.6274151,101.0605502,15
R2402001,4.6297403,101.0614755,16
R2402001,4.6329081,101.0625762,17
R2402001,4.6380963,101.0637384,18
R2402001,4.6404346,101.0643547,19
R2402001,4.6441134,101.0678297,20
R2402001,4.6482328,101.0693731,21
R2402001,4.6523046,101.0694820,22
R2402001,4.6555859,101.0700148,23
R2402001,4.6594692,101.0705870,24
R2402001,4.6695798,101.0738272,25
R2402002,4.6695798,101.0738271,1
R2402002,4.6594692,101.0705870,2
R2402002,4.6555859,101.0700148,3
R2402002,4.6523046,101.0694820,4
R2402002,4.6482328,101.0693731,5
R2402002,4.6441134,101.0678297,6
R2402002,4.6404346,101.0643547,7
R2402002,4.6380963,101.0637384,8
R2402002,4.6329081,101.0625762,9
R2402002,4.6297403,101.0614755,10
R2402002,4.6274151,101.0605502,11
R2402002,4.6244155,101.0604966,12
R2402002,4.6217248,101.0606618,13
R2402002,4.6185114,101.0581305,14
R2402002,4.6170610,101.0575172,15
R2402002,4.6144487,101.0571492,16
R2402002,4.6124275,101.0566288,17
R2402002,4.6104293,101.0577445,18
R2402002,4.6099866,101.0584500,19
R2402002,4.6074922,101.0624009,20
R2402002,4.6061180,101.0646862,21
R2402002,4.6019846,101.0689266,22
R2402002,4.5990591,101.0703603,23
R2402002,4.5975251,101.0704368,24
R2402002,4.5942240,101.0723600,25
R2402003,4.5942240,101.0723600,1
R2402003,4.5975251,101.0704368,2
R2402003,4.5990591,101.0703603,3
R2402003,4.6019846,101.0689266,4
R2402003,4.6061180,101.0646862,5
R2402003,4.6074922,101.0624009,6
R2402003,4.6099866,101.0584500,7
R2402003,4.6104293,101.0577445,8
R2402003,4.6124275,101.0566288,9
R2402003,4.6144487,101.0571492,10
R2402003,4.6170610,101.0575172,11
R2402003,4.6185114,101.0581305,12
R2402003,4.6213413,101.0593027,13
R2402003,4.6244155,101.0604966,14
R2402003,4.6274151,101.0605502,15
R2402003,4.6297403,101.0614755,16
R2402003,4.6329081,101.0625762,17
R2402003,4.6380963,101.0637384,18
R2402003,4.6404346,101.0643547,19
R2402003,4.6441134,101.0678297,20
R2402003,4.6482328,101.0693731,21
R2402003,4.6523046,101.0694820,22
R2402003,4.6555859,101.0700148,23
R2402003,4.6594692,101.0705870,24
R2402003,4.6695798,101.0738271,25
R2402003,4.6785318,101.0789976,26
R2402003,4.6840268,101.0856195,27
R2402003,4.6958019,101.0864381,28
R2402003,4.6997661,101.0861707,29
R2402003,4.7048547,101.0925471,30
R2402003,4.7137223,101.1072854,31
R2402003,4.7158639,101.1106914,32
R2402003,4.7174700,101.1146313,33
R2402003,4.7183044,101.1202079,34
R2402003,4.7195430,101.1212061,35
R2402003,4.7226108,101.1214095,36
R2402003,4.7262688,101.1216241,37
R2402003,4.7286751,101.1214564,38
R2402003,4.7329837,101.1202130,39
R2402003,4.7367362,101.1192779,40
R2402003,4.7396769,101.1186460,41
R2402003,4.7483586,101.1171608,42
R2402003,4.7516696,101.1172914,43
R2402004,4.7516696,101.1172914,1
R2402004,4.7483586,101.1171608,2
R2402004,4.7396769,101.1186460,3
R2402004,4.7367362,101.1192779,4
R2402004,4.7329837,101.1202130,5
R2402004,4.7286751,101.1214564,6
R2402004,4.7262688,101.1216241,7
R2402004,4.7226108,101.1214095,8
R2402004,4.7195430,101.1212061,9
R2402004,4.7183044,101.1202079,10
R2402004,4.7174700,101.1146313,11
R2402004,4.7158639,101.1106914,12
R2402004,4.7137223,101.1072854,13
R2402004,4.7048547,101.0925471,14
R2402004,4.6997661,101.0861707,15
R2402004,4.6958019,101.0864381,16
R2402004,4.6840268,101.0856195,17
R2402004,4.6785318,101.0789976,18
R2402004,4.6695798,101.0738271,19
R2402004,4.6594692,101.0705870,20
R2402004,4.6555859,101.0700148,21
R2402004,4.6523046,101.0694820,22
R2402004,4.6482328,101.0693731,23
R2402004,4.6441134,101.0678297,24
R2402004,4.6404346,101.0643547,25
R2402004,4.6380963,101.0637384,26
R2402004,4.6329081,101.0625762,27
R2402004,4.6297403,101.0614755,28
R2402004,4.6274151,101.0605502,29
R2402004,4.6244155,101.0604966,30
R2402004,4.6217248,101.0606618,31
R2402004,4.6185114,101.0581305,32
R2402004,4.6170610,101.0575172,33
R2402004,4.6144487,101.0571492,34
R2402004,4.6124275,101.0566288,35
R2402004,4.6104293,101.0577445,36
R2402004,4.6099866,101.0584500,37
R2402004,4.6074922,101.0624009,38
R2402004,4.6061180,101.0646862,39
R2402004,4.6019846,101.0689266,40
R2402004,4.5990591,101.0703603,41
R2402004,4.5975251,101.0704368,42
R2402004,4.5942240,101.0723600,43
R2402005,4.5942240,101.0723600,1
R2402005,4.5959328,101.0745297,2
R2402005,4.6027226,101.0767400,3
R2402005,4.6042636,101.0770684,4
R2402005,4.6131173,101.0786873,5
R2402005,4.6175227,101.0798110,6
R2402005,4.6211485,101.0805970,7
R2402005,4.6244411,101.0814128,8
R2402005,4.6277139,101.0821012,9
R2402005,4.6308135,101.0845617,10
R2402005,4.6321418,101.0862190,11
R2402005,4.6406861,101.0937774,12
R2402005,4.6447150,101.0982800,13
R2402005,4.6465622,101.1007404,14
R2402005,4.6488617,101.1027640,15
R2402005,4.6515370,101.1050550,16
R2402005,4.6586060,101.1104700,17
R2402005,4.6633433,101.1133961,18
R2402005,4.6699032,101.1173902,19
R2402005,4.6762951,101.1205727,20
R2402005,4.6790111,101.1208677,21
R2402005,4.6835717,101.1208677,22
R2402005,4.6868604,101.1210216,23
R2402005,4.6935589,101.1222249,24
R2402005,4.6993551,101.1227688,25
R2402005,4.7044801,101.1221589,26
R2402005,4.7074595,101.1219513,27
R2402005,4.7160670,101.1217368,28
R2402005,4.7195430,101.1212061,29
R2402005,4.7226108,101.1214095,30
R2402005,4.7262688,101.1216241,31
R2402005,4.7286751,101.1214564,32
R2402005,4.7329837,101.1202130,33
R2402005,4.7367362,101.1192779,34
R2402005,4.7396769,101.1186460,35
R2402005,4.7483586,101.1171608,36
R2402005,4.7516696,101.1172914,37
R2402005,4.7642182,101.1152369,38
R2402005,4.7746207,101.1131003,39
R2402005,4.7806822,101.1103804,40
R2402005,4.7838621,101.1088146,41
R2402005,4.7904708,101.1058693,42
R2402005,4.7966880,101.1023152,43
R2402005,4.8061410,101.0969380,44
R2402005,4.8097420,101.0892420,45
R2402005,4.8110410,101.0864310,46
R2402005,4.8123873,101.0851433,47
R2402005,4.8147547,101.0815251,48
R2402005,4.8156204,101.0799903,49
R2402005,4.8178445,101.0753689,50
R2402005,4.8195055,101.0723478,51
R2402005,4.8213909,101.0689622,52
R2402005,4.8220522,101.0676777,53
R2402005,4.8238979,101.0644320,54
R2402005,4.8267500,101.0570170,55
R2402005,4.8265976,101.0528390,56
R2402005,4.8265484,101.0450601,57
R2402005,4.8388043,101.0119633,58
R2402005,4.8394136,101.0087929,59
R2402005,4.8402063,101.0050446,60
R2402005,4.8402540,100.9964869,61
R2402005,4.8406520,100.9922988,62
R2402005,4.8399978,100.9873238,63
R2402005,4.8388809,100.9844858,64
R2402005,4.8380562,100.9836558,65
R2402005,4.8339453,100.9798197,66
R2402005,4.8312530,100.9776571,67
R2402005,4.8290060,100.9752240,68
R2402005,4.8225527,100.9684695,69
R2402005,4.8363913,100.9655063,70
R2402005,4.8225527,100.9684695,71
R2402005,4.8174533,100.9653592,72
R2402005,4.8179692,100.9600582,73
R2402005,4.8152610,100.9576066,74
R2402005,4.8100198,100.9542785,75
R2402005,4.8084412,100.9526228,76
R2402005,4.8072831,100.9514417,77
R2402005,4.8042458,100.9494728,78
R2402005,4.8014821,100.9482497,79
R2402005,4.7942400,100.9461200,80
R2402005,4.7927153,100.9454083,81
R2402005,4.7886657,100.9437812,82
R2402005,4.7851654,100.9432306,83
R2402005,4.7800415,100.9436564,84
R2402005,4.7777915,100.9414963,85
R2402005,4.7749641,100.9412792,86
R2402005,4.7712760,100.9395190,87
R2402006,4.7712760,100.9395190,1
R2402006,4.7749641,100.9412792,2
R2402006,4.7777915,100.9414963,3
R2402006,4.7800415,100.9436564,4
R2402006,4.7851654,100.9432306,5
R2402006,4.7886657,100.9437812,6
R2402006,4.7927153,100.9454083,7
R2402006,4.7942400,100.9461200,8
R2402006,4.8014821,100.9482497,9
R2402006,4.8042458,100.9494728,10
R2402006,4.8072831,100.9514417,11
R2402006,4.8084412,100.9526228,12
R2402006,4.8100198,100.9542785,13
R2402006,4.8152610,100.9576066,14
R2402006,4.8179692,100.9600582,15
R2402006,4.8174533,100.9653592,16
R2402006,4.8225527,100.9684695,17
R2402006,4.8363913,100.9655063,18
R2402006,4.8225527,100.9684695,19
R2402006,4.8290060,100.9752240,20
R2402006,4.8312530,100.9776571,21
R2402006,4.8339453,100.9798197,22
R2402006,4.8380562,100.9836558,23
R2402006,4.8388809,100.9844858,24
R2402006,4.8399978,100.9873238,25
R2402006,4.8406520,100.9922988,26
R2402006,4.8402540,100.9964869,27
R2402006,4.8402063,101.0050446,28
R2402006,4.8394136,101.0087929,29
R2402006,4.8388043,101.0119633,30
R2402006,4.8265484,101.0450601,31
R2402006,4.8265976,101.0528390,32
R2402006,4.8267500,101.0570170,33
R2402006,4.8238979,101.0644320,34
R2402006,4.8220522,101.0676777,35
R2402006,4.8213909,101.0689622,36
R2402006,4.8195055,101.0723478,37
R2402006,4.8178445,101.0753689,38
R2402006,4.8156204,101.0799903,39
R2402006,4.8147547,101.0815251,40
R2402006,4.8123873,101.0851433,41
R2402006,4.8110410,101.0864310,42
R2402006,4.8097420,101.0892420,43
R2402006,4.8061410,101.0969380,44
R2402006,4.7966880,101.1023152,45
R2402006,4.7904708,101.1058693,46
R2402006,4.7838621,101.1088146,47
R2402006,4.7806822,101.1103804,48
R2402006,4.7746207,101.1131003,49
R2402006,4.7642182,101.1152369,50
R2402006,4.7516696,101.1172914,51
R2402006,4.7483586,101.1171608,52
