stop_id,stop_code,stop_name,stop_lat,stop_lon,parent_station
ACSIPOH_T36,T36,ACS IPOH,4.59044011,101.07339263,
ACSIPOH_T36R,T36R,ACS IPOH,4.59044011,101.07339262,
AEONF_T36,T36,AEON FALIM,4.57998089,101.06079698,
AEONF_T36R,T36R,AEON FALIM,4.57998089,101.06079697,
AEONIPOH_T32,T32,AEON IPOH JALAN SULTAN AZLAN SHAH,4.61288097,101.11721853,
AEONIPOH_T32R,T32R,AEON IPOH JALAN SULTAN AZLAN SHAH,4.61288097,101.11721853,
AEONIPOH_F101B,F101B,AEON IPOH JALAN SULTAN AZLAN SHAH,4.61288097,101.11721853,
AEONIPOH_F101BR,F101BR,AEON IPOH JALAN SULTAN AZLAN SHAH,4.61288097,101.11721853,
AEONKLEBAG_T31A,T31A,AEON KLEBANG,4.67901112,101.12086773,
AEONKLEBAG_T31AR,T31AR,AEON KLEBANG,4.67901112,101.12086772,
AEONKLEBAG_T31B,T31B,AEON KLEBANG,4.67901112,101.12086772,
AEONKLEBAG_T31BR,T31BR,AEON KLEBANG,4.67901112,101.12086772,
AEONKLEBAG_T31XR,T31XR,AEON KLEBANG,4.67901112,101.12086772,
AEONKLEBAG_T31X,T31X,AEON KLEBANG,4.67901112,101.12086772,
AEONSTN18_T35,T35,AEON STATION 18,4.54354889,101.07221782,
AEONSTN18_T35R,T35R,AEON STATION 18,4.54354889,101.07221782,
AKADEMI_T36,T36,AKADEMI,4.44437697,100.99824786,
AKADEMI_T36R,T36R,AKADEMI,4.44437697,100.99824786,
AKC_A101A,A101A,AEON KINTA CITY,4.61474277,101.11968219,
AKC_A101B,A101B,AEON KINTA CITY,4.61474277,101.11968219,
AKC2_A101A,A101A,AEON KINTA CITY 2,4.61474277,101.11968219,
AKC2_A101B,A101B,AEON KINTA CITY 2,4.61474277,101.11968219,
AKDMMNDU_T31BR,T31BR,AKEDEMI MEMANDU,4.80728312,100.95144167,
AKDMMNDU_T31B,T31B,AKEDEMI MEMANDU,4.80728312,100.95144167,
AKDMMNDU_T31AR,T31AR,AKEDEMI MEMANDU,4.80728312,100.95144167,
AKDMMNDU_T31A,T31A,AKEDEMI MEMANDU,4.80728312,100.95144168,
AMALL_F100,F100,ANGSANA MALL,4.60349788,101.09486639,
AMALL_F100R,F100R,ANGSANA MALL,4.60316636,101.09494686,
AMALL_F101A,F101A,ANGSANA MALL,4.60349788,101.09486639,
AMALL_F103R,F103R,ANGSANA MALL,4.60316636,101.09494686,
AMALL_F101B,F101B,ANGSANA MALL,4.60316636,101.09494686,
AMALL_F103,F103,ANGSANA MALL,4.60316636,101.09494686,
AMALL2_F103,F103,ANGSANA MALL 2,4.60349788,101.09486639,
AMALL2_F101B,F101B,ANGSANA MALL 2,4.60316636,101.09494686,
AMANJAYA_T30B,T30B,TERMINAL AMANJAYA,4.66957976,101.07382714,
AMANJAYA_T30BR,T30BR,TERMINAL AMANJAYA,4.66957976,101.07382714,
AMANJAYA_T30A,T30A,TERMINAL AMANJAYA,4.66957976,101.07382715,
AMANJAYA_T30AR,T30AR,TERMINAL AMANJAYA,4.66957976,101.07382714,
ARKEDBTGJH_T36,T36,ARKED BATU GAJAH,4.47155112,101.04240775,
ARKEDBTGJH_T36R,T36R,ARKED BATU GAJAH,4.47155112,101.04240775,
BALAIPOLIS_T34,T34,BALAI POLIS KUALA DEPANG,4.38798377,101.15691986,
BALAIPOLIS_T34R,T34R,BALAI POLIS KUALA DEPANG,4.38798377,101.15691986,
BATU10_37B,37B,BATU 10,4.33247100,101.06491000,
BATU10_37BR,37BR,BATU 10,4.33247100,101.06491000,
BATU10_37,37,BATU 10,4.33247100,101.06491000,
BATU10_37R,37R,BATU 10,4.33247100,101.06491000,
BATU10_101,101,BATU 10,3.90869600,100.94245000,
BATU10_101R,101R,BATU 10,3.90869600,100.94245000,
BATU10_T31X,T31X,BATU 10,4.72626878,101.12162411,
BATU10_T31XR,T31XR,BATU 10,4.72626878,101.12162411,
BATU10_T31A,T31A,BATU 10,4.72626878,101.12162411,
BATU10_T31AR,T31AR,BATU 10,4.72626878,101.12162410,
BATU10_T31B,T31B,BATU 10,4.72626878,101.12162410,
BATU10_T31BR,T31BR,BATU 10,4.72626878,101.12162410,
BATU10_A30B,A30B,BATU 10,4.72626878,101.12162410,
BATU10_A30BR,A30BR,BATU 10,4.72626878,101.12162410,
BATU10_A33A,A33A,BATU 10,4.72626878,101.12162410,
BATU10_A33AR,A33AR,BATU 10,4.72626878,101.12162410,
BATU20_T34R,T34R,BATU 20,4.36944300,101.15588700,
BATU20_69,69,BATU 20,4.36944300,101.15588700,
BATU20_69R,69R,BATU 20,4.36944300,101.15588700,
BATU20_70,70,BATU 20,4.36944300,101.15588700,
BATU20_70R,70R,BATU 20,4.36944300,101.15588700,
BATU20_T34,T34,BATU 20,4.36944300,101.15588700,
BATU6_68,68,BATU 6,4.42847100,101.13206500,
BATU6_68R,68R,BATU 6,4.42847100,101.13206500,
BATU6_37B,37B,BATU 6,4.37990300,101.05653000,
BATU6_37BR,37BR,BATU 6,4.37990300,101.05653000,
BATU6_37,37,BATU 6,4.37990300,101.05653000,
BATU6_37R,37R,BATU 6,4.37990300,101.05653000,
BATU6_101,101,BATU 6,3.95727800,100.97497000,
BATU6_101R,101R,BATU 6,3.95727800,100.97497000,
BATU6_T33A,T33A,BATU 6,4.63270321,101.15121961,
BATU6_T33AR,T33AR,BATU 6,4.63270321,101.15121960,
BATU6_T33B,T33B,BATU 6,4.63270321,101.15121960,
BATU6_T33BR,T33BR,BATU 6,4.63270321,101.15121960,
BATU6_F101A,F101A,BATU 6,4.63270321,101.15121960,
BATU6_F101AR,F101AR,BATU 6,4.63270321,101.15121960,
BATU6_F101B,F101B,BATU 6,4.63270321,101.15121960,
BATU6_F101BR,F101BR,BATU 6,4.63270321,101.15121960,
BATU9_T31XR,T31XR,BATU 9,4.70745948,101.12195134,
BATU9_T31X,T31X,BATU 9,4.70745948,101.12195134,
BATU9_T31BR,T31BR,BATU 9,4.70745948,101.12195134,
BATU9_T31B,T31B,BATU 9,4.70745948,101.12195134,
BATU9_T31AR,T31AR,BATU 9,4.70745948,101.12195134,
BATU9_T31A,T31A,BATU 9,4.70745948,101.12195134,
BBJDLPK1_F101A,F101A,BALAI BOMBA JALAN DATO LAU PAK KHUAN 1,4.61200508,101.10577762,
BBJDLPK1_F101AR,F101AR,BALAI BOMBA JALAN DATO LAU PAK KHUAN 1,4.61200508,101.10577762,
BBJDLPK2_F101A,F101A,BALAI BOMBA JALAN DATO LAU PAK KHUAN 2,4.61200508,101.10577762,
BBJDLPK2_F101AR,F101AR,BALAI BOMBA JALAN DATO LAU PAK KHUAN 2,4.61200508,101.10577762,
BBPUTRA_T32,T32,BANDAR BARU PUTRA,4.65875813,101.14250243,
BBPUTRA_T32R,T32R,BANDAR BARU PUTRA,4.65875813,101.14250242,
BBT_F101A,F101A,BANDAR BARU TAMBUN,4.61504734,101.14388216,
BBT_F101AR,F101AR,BANDAR BARU TAMBUN,4.61504734,101.14388215,
BBT_F101B,F101B,BANDAR BARU TAMBUN,4.61504734,101.14388215,
BBT_F101BR,F101BR,BANDAR BARU TAMBUN,4.61504734,101.14388215,
BDRKMPR2_T34R,T34R,BANDAR BARU KAMPAR 2,4.32593416,101.14429541,
BDRKMPR2_T34,T34,BANDAR BARU KAMPAR 2,4.32593416,101.14429542,
BEMBAN1_T36,T36,BEMBAN 1,4.45889934,101.01311251,
BEMBAN1_T36R,T36R,BEMBAN 1,4.45889934,101.01311250,
BGNNSRKNTA_T35,T35,BANGUNAN SERI KINTA,4.59802514,101.07982171,
BGNNSRKNTA_T35R,T35R,BANGUNAN SERI KINTA,4.59802514,101.07982170,
