route_id,service_id,trip_id,shape_id,direction_id
A30A,Bas.my,R2402001_T1,R2402001,0
A30A,Bas.my,R2402001_T2,R2402001,0
A30A,Bas.my,R2402001_T3,R2402001,0
A30A,Bas.my,R2402001_T4,R2402001,0
A30A,Bas.my,R2402001_T5,R2402001,0
A30A,Bas.my,R2402001_T6,R2402001,0
A30A,Bas.my,R2402001_T7,R2402001,0
A30A,Bas.my,R2402001_T8,R2402001,0
A30A,Bas.my,R2402001_T9,R2402001,0
A30A,Bas.my,R2402001_T10,R2402001,0
A30A,Bas.my,R2402001_T11,R2402001,0
A30A,Bas.my,R2402001_T12,R2402001,0
A30A,Bas.my,R2402001_T13,R2402001,0
A30A,Bas.my,R2402001_T14,R2402001,0
A30A,Bas.my,R2402002_T1,R2402002,1
A30A,Bas.my,R2402002_T2,R2402002,1
A30A,Bas.my,R2402002_T3,R2402002,1
A30A,Bas.my,R2402002_T4,R2402002,1
A30A,Bas.my,R2402002_T5,R2402002,1
A30A,Bas.my,R2402002_T6,R2402002,1
A30A,Bas.my,R2402002_T7,R2402002,1
A30A,Bas.my,R2402002_T8,R2402002,1
A30A,Bas.my,R2402002_T9,R2402002,1
A30A,Bas.my,R2402002_T10,R2402002,1
A30A,Bas.my,R2402002_T11,R2402002,1
A30A,Bas.my,R2402002_T12,R2402002,1
A30A,Bas.my,R2402002_T13,R2402002,1
A30A,Bas.my,R2402002_T14,R2402002,1
A30B,Bas.my,R2402003_T1,R2402003,0
A30B,Bas.my,R2402003_T2,R2402003,0
A30B,Bas.my,R2402003_T3,R2402003,0
A30B,Bas.my,R2402003_T4,R2402003,0
A30B,Bas.my,R2402003_T5,R2402003,0
A30B,Bas.my,R2402003_T6,R2402003,0
A30B,Bas.my,R2402003_T7,R2402003,0
A30B,Bas.my,R2402003_T8,R2402003,0
A30B,Bas.my,R2402003_T9,R2402003,0
A30B,Bas.my,R2402003_T10,R2402003,0
A30B,Bas.my,R2402003_T11,R2402003,0
A30B,Bas.my,R2402003_T12,R2402003,0
A30B,Bas.my,R2402003_T13,R2402003,0
A30B,Bas.my,R2402003_T14,R2402003,0
A30B,Bas.my,R2402003_T15,R2402003,0
A30B,Bas.my,R2402003_T16,R2402003,0
A30B,Bas.my,R2402004_T1,R2402004,1
A30B,Bas.my,R2402004_T2,R2402004,1
A30B,Bas.my,R2402004_T3,R2402004,1
A30B,Bas.my,R2402004_T4,R2402004,1
A30B,Bas.my,R2402004_T5,R2402004,1
A30B,Bas.my,R2402004_T6,R2402004,1
A30B,Bas.my,R2402004_T7,R2402004,1
A30B,Bas.my,R2402004_T8,R2402004,1
A30B,Bas.my,R2402004_T9,R2402004,1
A30B,Bas.my,R2402004_T10,R2402004,1
A30B,Bas.my,R2402004_T11,R2402004,1
A30B,Bas.my,R2402004_T12,R2402004,1
A30B,Bas.my,R2402004_T13,R2402004,1
A30B,Bas.my,R2402004_T14,R2402004,1
A30B,Bas.my,R2402004_T15,R2402004,1
A30B,Bas.my,R2402004_T16,R2402004,1
A31A,Bas.my,R2402005_T1,R2402005,0
A31A,Bas.my,R2402005_T2,R2402005,0
A31A,Bas.my,R2402005_T3,R2402005,0
A31A,Bas.my,R2402005_T4,R2402005,0
A31A,Bas.my,R2402005_T5,R2402005,0
A31A,Bas.my,R2402005_T6,R2402005,0
A31A,Bas.my,R2402005_T7,R2402005,0
A31A,Bas.my,R2402005_T8,R2402005,0
A31A,Bas.my,R2402005_T9,R2402005,0
A31A,Bas.my,R2402005_T10,R2402005,0
A31A,Bas.my,R2402006_T1,R2402006,1
A31A,Bas.my,R2402006_T2,R2402006,1
A31A,Bas.my,R2402006_T3,R2402006,1
A31A,Bas.my,R2402006_T4,R2402006,1
A31A,Bas.my,R2402006_T5,R2402006,1
A31A,Bas.my,R2402006_T6,R2402006,1
A31A,Bas.my,R2402006_T7,R2402006,1
A31A,Bas.my,R2402006_T8,R2402006,1
A31A,Bas.my,R2402006_T9,R2402006,1
A31A,Bas.my,R2402006_T10,R2402006,1
A31B,Bas.my,R2402007_T1,R2402007,0
A31B,Bas.my,R2402007_T2,R2402007,0
A31B,Bas.my,R2402007_T3,R2402007,0
A31B,Bas.my,R2402007_T4,R2402007,0
A31B,Bas.my,R2402007_T5,R2402007,0
A31B,Bas.my,R2402007_T6,R2402007,0
A31B,Bas.my,R2402007_T7,R2402007,0
A31B,Bas.my,R2402007_T8,R2402007,0
A31B,Bas.my,R2402007_T9,R2402007,0
