route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible
J100CWLMYJB,ALLDAY,0002_J100CWLMYJB_12509_1_P3_ALLDAY_1_5,JB Sentral - KSL City 3.0,1,,shape_J100CWLMYJB_1,0
J300CWLMYJB,ALLDAY,0002_J300CWLMYJB_12520_1_A2_ALLDAY_1_8,Terminal Kulai - Terminal Putri Kulai 1.0,1,,shape_J300CWLMYJB_1,0
J22CWLMYJB,ALLDAY,0002_J22CWLMYJB_12554_1_P8_ALLDAY_2_1,JB Sentral - Taman Scientex Pasir Gudang,1,,shape_J22CWLMYJB_1,0
J200CWLMYJB,ALLDAY,0002_J200CWLMYJB_12556_1_A1_ALLDAY_1_2,Terminal Bas Masai - PPR Seri Alam 1.0,1,,shape_J200CWLMYJB_1,0
J11CWLMYJB,ALLDAY,0002_J11CWLMYJB_12546_0_A4_ALLDAY_1_3,AEON Dato Onn - JB Sentral via Setia Indah,0,,shape_J11CWLMYJB_0,0
J15CWLMYJB,ALLDAY,0002_J15CWLMYJB_12550_0_P4_ALLDAY_2_6,SOGO Mid Valley - JB Sentral,0,,shape_J15CWLMYJB_0,0
J11CWLMYJB,ALLDAY,0002_J11CWLMYJB_12546_0_A6_ALLDAY_1_1,AEON Dato Onn - JB Sentral via Setia Indah,0,,shape_J11CWLMYJB_0,0
J20CWLMYJB,ALLDAY,0002_J20CWLMYJB_12511_0_P1_ALLDAY_1_1,Terminal Bas Masai - JB Sentral,0,,shape_J20CWLMYJB_0,0
J42CWLMYJB,ALLDAY,0002_J42CWLMYJB_12524_1_A2_ALLDAY_2_2,Terminal Gelang Patah - Pendas 2.0,1,,shape_J42CWLMYJB_1,0
J205CWLMYJB,ALLDAY,0002_J205CWLMYJB_12557_1_P3_ALLDAY_2_2,Terminal Bas Masai - Lotus Kota Masai,1,,shape_J205CWLMYJB_1,0
J30CWLMYJB,ALLDAY,0002_J30CWLMYJB_12513_0_P7_ALLDAY_2_2,Terminal Kulai - JB Sentral 3.0,0,,shape_J30CWLMYJB_0,0
J300CWLMYJB,ALLDAY,0002_J300CWLMYJB_12520_1_A3_ALLDAY_1_8,Terminal Kulai - Terminal Putri Kulai 1.0,1,,shape_J300CWLMYJB_1,0
J33CWLMYJB,ALLDAY,0002_J33CWLMYJB_12519_0_A6_ALLDAY_1_1,Hab Taman Tan Sri Yaacob - JB Sentral	,0,,shape_J33CWLMYJB_0,0
J32CWLMYJB,ALLDAY,0002_J32CWLMYJB_12517_0_A4_ALLDAY_1_1,Flat Tman Selesa Jaya - JB Sentral 2.0,0,,shape_J32CWLMYJB_0,0
J32CWLMYJB,ALLDAY,0002_J32CWLMYJB_12517_0_SM10_ALLDAY_1_4,Flat Tman Selesa Jaya - JB Sentral 2.0,0,,shape_J32CWLMYJB_0,0
J22CWLMYJB,ALLDAY,0002_J22CWLMYJB_12554_1_A5_ALLDAY_2_1,JB Sentral - Taman Scientex Pasir Gudang,1,,shape_J22CWLMYJB_1,0
J34CWLMYJB,ALLDAY,0002_J34CWLMYJB_12559_1_P4_ALLDAY_2_3,JB Sentral - Hab Sutera Mall,1,,shape_J34CWLMYJB_1,0
J30CWLMYJB,ALLDAY,0002_J30CWLMYJB_12513_0_A3_ALLDAY_1_1,Terminal Kulai - JB Sentral 3.0,0,,shape_J30CWLMYJB_0,0
J44CWLMYJB,ALLDAY,0002_J44CWLMYJB_12527_0_A4_ALLDAY_2_1,Terminal Feri Puteri Harbour - Larkin Sentral 2.0,0,,shape_J44CWLMYJB_0,0
J21CWLMYJB,ALLDAY,0002_J21CWLMYJB_12528_1_P2_ALLDAY_2_3,JB Sentral - Hentian Bas Permas Jaya 1.0,1,,shape_J21CWLMYJB_1,0
J32CWLMYJB,ALLDAY,0002_J32CWLMYJB_12516_1_A10_ALLDAY_2_2,JB Sentral - Flat Tman Selesa Jaya 2.0,1,,shape_J32CWLMYJB_1,0
J42CWLMYJB,ALLDAY,0002_J42CWLMYJB_12524_1_P2_ALLDAY_2_3,Terminal Gelang Patah - Pendas 2.0,1,,shape_J42CWLMYJB_1,0
J300CWLMYJB,ALLDAY,0002_J300CWLMYJB_12521_0_A4_ALLDAY_2_7,Terminal Putri Kulai - Terminal Kulai 1.0	,0,,shape_J300CWLMYJB_0,0
J22CWLMYJB,ALLDAY,0002_J22CWLMYJB_12555_0_P2_ALLDAY_1_3,Taman Scientex Pasir Gudang - JB Sentral,0,,shape_J22CWLMYJB_0,0
J13CWLMYJB,ALLDAY,0002_J13CWLMYJB_12548_0_A4_ALLDAY_1_4,Larkin Sentral - JB Sentral via Mahmoodiah	,0,,shape_J13CWLMYJB_0,0
J30CWLMYJB,ALLDAY,0002_J30CWLMYJB_12513_0_A11_ALLDAY_1_1,Terminal Kulai - JB Sentral 3.0,0,,shape_J30CWLMYJB_0,0
J30CWLMYJB,ALLDAY,0002_J30CWLMYJB_12512_1_P5_ALLDAY_1_2,JB Sentral - Terminal Kulai 3.0,1,,shape_J30CWLMYJB_1,0
J21CWLMYJB,ALLDAY,0002_J21CWLMYJB_12529_0_P4_ALLDAY_1_4,Hentian Bas Permas Jaya - JB Sentral	,0,,shape_J21CWLMYJB_0,0
J34CWLMYJB,ALLDAY,0002_J34CWLMYJB_12559_1_A2_ALLDAY_2_2,JB Sentral - Hab Sutera Mall,1,,shape_J34CWLMYJB_1,0
J40CWLMYJB,ALLDAY,0002_J40CWLMYJB_12522_1_P2_ALLDAY_1_2,Larkin Sentral - GP Sentral 2.0,1,,shape_J40CWLMYJB_1,0
J22CWLMYJB,ALLDAY,0002_J22CWLMYJB_12554_1_A3_ALLDAY_2_2,JB Sentral - Taman Scientex Pasir Gudang,1,,shape_J22CWLMYJB_1,0
J31CWLMYJB,ALLDAY,0002_J31CWLMYJB_12515_0_P12_ALLDAY_2_1,Taman Pulai Indah - JB Sentral 4.0,0,,shape_J31CWLMYJB_0,0
J16CWLMYJB,ALLDAY,0002_J16CWLMYJB_12552_1_A4_ALLDAY_2_2,B5 Johor Street Market / Plaza Angsana - Toppen Tebrau,1,,shape_J16CWLMYJB_1,0
J15CWLMYJB,ALLDAY,0002_J15CWLMYJB_12550_0_P6_ALLDAY_1_2,SOGO Mid Valley - JB Sentral,0,,shape_J15CWLMYJB_0,0
J16CWLMYJB,ALLDAY,0002_J16CWLMYJB_12552_1_A3_ALLDAY_2_1,B5 Johor Street Market / Plaza Angsana - Toppen Tebrau,1,,shape_J16CWLMYJB_1,0
J300CWLMYJB,ALLDAY,0002_J300CWLMYJB_12521_0_A1_ALLDAY_2_6,Terminal Putri Kulai - Terminal Kulai 1.0	,0,,shape_J300CWLMYJB_0,0
J40CWLMYJB,ALLDAY,0002_J40CWLMYJB_12523_0_A1_ALLDAY_1_1,GP Sentral - Larkin Sentral	,0,,shape_J40CWLMYJB_0,0
J15CWLMYJB,ALLDAY,0002_J15CWLMYJB_12550_0_A3_ALLDAY_1_4,SOGO Mid Valley - JB Sentral,0,,shape_J15CWLMYJB_0,0
J300CWLMYJB,ALLDAY,0002_J300CWLMYJB_12521_0_A1_ALLDAY_2_4,Terminal Putri Kulai - Terminal Kulai 1.0	,0,,shape_J300CWLMYJB_0,0
J33CWLMYJB,ALLDAY,0002_J33CWLMYJB_12518_1_A3_ALLDAY_2_1,JB Sentral - Hab Taman Tan Sri Yaacob,1,,shape_J33CWLMYJB_1,0
J15CWLMYJB,ALLDAY,0002_J15CWLMYJB_12550_0_A6_ALLDAY_1_5,SOGO Mid Valley - JB Sentral,0,,shape_J15CWLMYJB_0,0
J32CWLMYJB,ALLDAY,0002_J32CWLMYJB_12517_0_SM4_ALLDAY_1_4,Flat Tman Selesa Jaya - JB Sentral 2.0,0,,shape_J32CWLMYJB_0,0
J40CWLMYJB,ALLDAY,0002_J40CWLMYJB_12522_1_P1_ALLDAY_1_1,Larkin Sentral - GP Sentral 2.0,1,,shape_J40CWLMYJB_1,0
J30CWLMYJB,ALLDAY,0002_J30CWLMYJB_12512_1_P13_ALLDAY_1_1,JB Sentral - Terminal Kulai 3.0,1,,shape_J30CWLMYJB_1,0
J50CWLMYJB,ALLDAY,0002_J50CWLMYJB_12530_1_SM3_ALLDAY_1_3,Larkin Sentral - Terminal Pontian 1.0,1,,shape_J50CWLMYJB_1,0
J13CWLMYJB,ALLDAY,0002_J13CWLMYJB_12548_0_A5_ALLDAY_1_3,Larkin Sentral - JB Sentral via Mahmoodiah	,0,,shape_J13CWLMYJB_0,0
J34CWLMYJB,ALLDAY,0002_J34CWLMYJB_12560_0_A1_ALLDAY_1_3,Hab Sutera Mall - JB Sentral,0,,shape_J34CWLMYJB_0,0
J10CWLMYJB,ALLDAY,0002_J10CWLMYJB_12543_1_P5_ALLDAY_2_1,JB Sentral - Terminal Kota Tinggi 1.0,1,,shape_J10CWLMYJB_1,0
J34CWLMYJB,ALLDAY,0002_J34CWLMYJB_12560_0_A1_ALLDAY_1_2,Hab Sutera Mall - JB Sentral,0,,shape_J34CWLMYJB_0,0
