shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
SHP_30195_0,6.140447,100.354252,1
SHP_30195_0,6.142969,100.370403,2
SHP_30198_0,6.140447,100.354252,1
SHP_30198_0,6.142969,100.370403,15
SHP_30199_0,6.140447,100.354252,1
SHP_30268_0,6.435254,100.192604,1
SHP_30268_0,6.44,100.194147,2
SHP_30268_0,6.440983,100.199203,3
SHP_30268_0,6.443911,100.203247,4
SHP_30268_0,6.430125,100.218525,5
SHP_30268_0,6.430744,100.224283,6
SHP_30268_0,6.437003,100.23305,7
SHP_30268_0,6.441164,100.233856,8
SHP_30268_0,6.445856,100.230211,9
SHP_30268_0,6.456167,100.234783,10
SHP_30268_0,6.462528,100.239531,11
SHP_30268_0,6.482967,100.247683,12
SHP_30268_0,6.495314,100.246419,13
SHP_30268_0,6.499431,100.246611,14
SHP_30268_0,6.515217,100.251447,15
SHP_30268_0,6.519483,100.259986,16
SHP_30268_0,6.524322,100.261822,17
SHP_30268_0,6.536636,100.267942,18
SHP_30268_0,6.544678,100.276364,19
SHP_30268_0,6.552028,100.279614,20
SHP_30268_0,6.552169,100.281697,21
SHP_30268_0,6.550456,100.285647,22
SHP_30268_0,6.548025,100.288547,23
SHP_30268_0,6.544217,100.292539,24
SHP_30268_0,6.542661,100.298425,25
SHP_30268_0,6.543067,100.318208,26
SHP_30268_0,6.540336,100.326061,42
SHP_30270_0,6.140447,100.354252,1
SHP_30270_0,6.142672,100.357272,2
SHP_30270_0,6.143122,100.362764,3
SHP_30270_0,6.143228,100.364119,4
SHP_30270_0,6.143447,100.366836,5
SHP_30270_0,6.14365,100.369369,6
SHP_30270_0,6.142969,100.370403,7
SHP_30270_0,6.134869,100.37315,8
SHP_30270_0,6.124692,100.372086,9
SHP_30270_0,6.119311,100.368783,10
SHP_30270_0,6.117322,100.367117,11
SHP_30270_0,6.119353,100.379989,12
SHP_30270_0,6.131231,100.388486,13
SHP_30270_0,6.133811,100.389861,14
SHP_30270_0,6.136975,100.391103,15
SHP_30270_0,6.141628,100.393072,16
SHP_30270_0,6.151581,100.399272,17
SHP_30270_0,6.154522,100.400058,18
SHP_30270_0,6.162761,100.402264,19
SHP_30270_0,6.165447,100.402967,20
SHP_30270_0,6.166928,100.403356,21
SHP_30270_0,6.174144,100.405267,22
SHP_30270_0,6.185822,100.408431,23
SHP_30270_0,6.189653,100.409392,24
SHP_30270_0,6.191575,100.409981,25
SHP_30270_0,6.201186,100.412431,26
SHP_30270_0,6.204328,100.413258,27
SHP_30270_0,6.210133,100.414833,28
SHP_30270_0,6.214561,100.415997,29
SHP_30270_0,6.219378,100.417278,30
SHP_30270_0,6.225025,100.418764,31
SHP_30270_0,6.229033,100.419589,32
SHP_30270_0,6.234389,100.419675,33
SHP_30270_0,6.239975,100.419733,34
SHP_30270_0,6.241803,100.419731,35
SHP_30270_0,6.260586,100.419933,36
SHP_30270_0,6.272586,100.420119,37
SHP_30270_0,6.278747,100.420181,38
SHP_30270_0,6.285214,100.420203,39
SHP_30270_0,6.294697,100.420261,40
SHP_30270_0,6.298858,100.420208,41
SHP_30270_0,6.318689,100.420369,42
SHP_30270_0,6.338814,100.420447,43
SHP_30270_0,6.351753,100.421636,44
SHP_30270_0,6.354897,100.422019,45
SHP_30270_0,6.362306,100.42275,46
SHP_30270_0,6.365775,100.423133,47
SHP_30270_0,6.370317,100.423553,48
SHP_30270_0,6.405817,100.427089,49
SHP_30270_0,6.423117,100.428544,50
SHP_30270_0,6.4257,100.428725,51
SHP_30270_0,6.431356,100.429078,52
SHP_30270_0,6.433747,100.436442,53
SHP_30270_0,6.438842,100.448047,54
SHP_30270_0,6.448706,100.453256,55
SHP_30270_0,6.443944,100.478111,56
SHP_30270_0,6.445772,100.483433,57
SHP_30270_0,6.448764,100.502767,58
SHP_30270_0,6.464017,100.508586,59
SHP_30271_0,6.435254,100.192604,1
SHP_30271_0,6.44,100.194147,2
SHP_30271_0,6.440983,100.199203,3
SHP_30271_0,6.443869,100.203289,4
SHP_30271_0,6.445806,100.207822,5
SHP_30271_0,6.446558,100.214953,6
SHP_30271_0,6.44645,100.217211,7
SHP_30271_0,6.445883,100.221969,8
SHP_30271_0,6.4455,100.225344,9
SHP_30271_0,6.445239,100.229769,10
