stop_id,stop_name,stop_lat,stop_lon,zone
3439,Hospital Alor Setar,6.142969,100.370403,
3686,ALOR MALAI,6.141628,100.393072,
4278,TERMINAL BUKIT LAGI KANGAR,6.435254,100.192604,
4280,HENTIAN PERUMAHAN KILANG GULA,6.540336,100.326061,
4283,TERMINAL CHANGLUN,6.431172,100.428217,
4284,TERMINAL PADANG BESAR PERLIS,6.661312,100.321099,
4285,HENTIAN KAMPUNG SEBERANG RAMAI,6.406072,100.130972,
4286,HENTIAN UUM SINTOK,6.464017,100.508586,
4297,LAMAN PELANGI BUKIT JERNIH KANGAR,6.536778,100.268122,
4298,MASJID AL HUSNI BATU BERTANGKUP JLN KILANG GULA,6.548075,100.288506,
4305,KAYANGAN SQUARE KANGAR,6.44,100.194147,
4306,KOMPLEKS ISLAM PERLIS,6.440983,100.199203,
4307,PUTRA REGENCY,6.443911,100.203247,
4308,PEJABAT POS LAJU,6.446517,100.20485,
4309,TMN SENA INDAH/ TMN NORMA,6.448314,100.205256,
4315,HOSPITAL TUANKU FAUZIAH,6.441297,100.191758,
4332,TABUNG HAJI SERIAB,6.415558,100.183225,
4334,SK SERI PERLIS,6.433622,100.195297,
4346,GIANT KANGAR cp,6.420247,100.198047,
4347,SK RAJA SYED ALWI,6.417725,100.198578,
4351,INSTITUT PERGURUAN,6.430125,100.218525,
4352,KOLEJ JURURAWAT,6.430744,100.224283,
4353,UNIMAP BIO PROSES,6.437003,100.23305,
4354,JPJ JEJAWI,6.441164,100.233856,
4355,SEK JEJAWI,6.445856,100.230211,
4356,KOMPLEKS PENYAYANG DR SITI HASMAH,6.456167,100.234783,
4357,NGULANG SELATAN,6.462528,100.239531,
4358,MASJID ISLAH,6.482967,100.247683,
4359,MASJID IBNU SINA PERAWAN DATO KAYAMAN,6.495314,100.246419,
4360,SEK DATO KAYAMAN,6.499431,100.246611,
4361,TMN EMAS,6.515217,100.251447,
4362,MASJID BUKIT KETERI,6.519483,100.259986,
4363,SMK DATO JAAFAR HASSAN,6.524322,100.261822,
4364,BUKIT JERNIH,6.536636,100.267942,
4365,UPP CHUPING,6.544678,100.276364,
4366,SIMPANG KILANG GULA,6.552028,100.279614,
4367,SEK BATU BERTANGKUP,6.552169,100.281697,
4368,MASJID AL HUSNI BATU BERTANGKUP,6.548025,100.288547,
4369,KG SG SERAI,6.544217,100.292539,
4370,KG BARU LUBUK MACHANG,6.542661,100.298425,
4371,KILANG GULA KANGAR,6.543067,100.318208,
4381,BALAI BARU,6.515339,100.229658,
4384,SK PAYA cp,6.501692,100.224867,
4401,SMK DATO SHEIKH AHMAD cp,6.439044,100.267142,
4405,SMA ALMAAD,6.433167,100.270042,
4406,MAKAM DIRAJA cp,6.430006,100.270853,
4410,SEK TENGKU BUDRIAH,6.436581,100.269306,
4411,BATAS LIKU ARAU,6.441561,100.266189,
4429,SEK DERMA,6.442606,100.192178,
4430,MEGA STAR INN,6.444794,100.197758,
4431,SMK SYED HASSAN,6.446172,100.201275,
4432,TMN SENA INDAH,6.447153,100.204986,
4433,TMN SENA,6.445806,100.207822,
4434,MASJID TUN ABDUL RAZAK CP,6.446544,100.214253,
4435,SIMPANG TASIK MELATI,6.446547,100.216381,
4436,TMN PROGRESIF,6.445883,100.221969,
4437,UNIMAP JEJAWI/SK JEJAWI,6.445239,100.229769,
4438,MAJLIS PERBANDARAN KANGAR (JEJAWI),6.445158,100.232303,
4439,MASJID MUHAMMADI CP,6.445119,100.235144,
4440,SMK SYED SIRAJUDDIN CP,6.445203,100.238922,
4441,ALOR LANCANG/TMN SAUJANA IDAMAN,6.445392,100.242606,
4442,UNIVERSITI MALAYSIA PERLIS JEJAWI KANGAR,6.445678,100.245042,
4443,SK SUBANG GAJAH,6.446183,100.250322,
4444,KG ALOR ARA,6.446419,100.252897,
4445,KTM ARAU,6.429528,100.269908,
4446,SJK HWA AIK,6.426781,100.273892,
4447,TMN KENANGA,6.426981,100.275586,
4448,PASAR BESAR ARAU,6.427536,100.278922,
4449,NAT POKOK GETAH,6.432031,100.292106,
4450,MASJID AL MURSYID,6.434781,100.297906,
4451,PEKAN PAUH,6.436183,100.300883,
4452,BALAI POLIS PAUH CP,6.437258,100.303056,
4453,SMK TENGKU BUDRIAH,6.440958,100.310364,
4454,POLITEKNIK SYED SIRAJUDDIN,6.453778,100.337714,
4455,MRSM ULU PAUH,6.453011,100.347019,
4456,UNIMAP PAUH/SEK KEJURUTERAAN,6.463189,100.351028,
4457,UNIMAP PAUH/KOLEH KEDIAMAN ABD RAZAK,6.462169,100.355769,
4458,GERAI BUAH-BUAHAN SEGAR FAMA,6.456553,100.348689,
4459,MASJID ABIDIN,6.441467,100.409319,
4460,TMN SERI CHANGLUN,6.435625,100.424456,
4461,TMN MIDIN INDAH,6.445495,100.225299,
4462,KG SALANG cp,6.460431,100.208344,
4463,BATU 2,6.472464,100.212331,
4464,BATU 3 1/4,6.475681,100.213306,
4465,BATU 3 1/2,6.480047,100.214319,
4466,MASJID SIRAJUDDIN,6.484706,100.215369,
4467,KG PENGHULU CHOH,6.487458,100.216211,
4468,RTM PADANG PAUH,6.490283,100.217897,
4469,PADANG PAUH,6.491625,100.218722,
4470,ALOR SENA,6.496819,100.221922,
4471,PAYA,6.501689,100.224867,
4472,KOMPLEKS PERTANIAN,6.523128,100.229489,
4473,KG BESERI / KG BUKIT TENIANG,6.528308,100.229225,
4474,SK BESERI cp,6.535328,100.228767,
4475,TMN BESERI PAYA,6.536508,100.228661,
4476,SG BATU HAMPAR,6.539783,100.228436,
4477,MRSM BESERI CP,6.550821,100.229703,
4478,IKM BESERI,6.554358,100.229183,
4479,PERKUBURAN CINA BERSERI,6.558817,100.229328,
4480,TOK MEK,6.561336,100.231925,
4481,SEMADONG,6.563933,100.23515,
4482,KG PAYA KELADI,6.590958,100.241314,
4483,PUSAT SERENTI,6.605756,100.249439,
4484,MASJID AL-MUSTAGFIRIN,6.615806,100.253919,
4485,SG JAROM,6.617336,100.256056,
4486,KG TITI TINGGI HILIR CP,6.627725,100.260097,
4487,MASJID AL-AZIM cp,6.634008,100.261019,
4488,TITI TINGGI,6.636539,100.259772,
4489,UNICITI PERLIS,6.648281,100.255547,
4490,KG BARU,6.649872,100.253694,
4491,MASJID AL-NUR CP,6.646539,100.242414,
4492,KG SERI AMAN PERLIS,6.644697,100.236244,
4493,FELCRA LUBUK SIREH CP,6.641617,100.229322,
4494,SMK RAJA PUAN MUDA TENKU FAUZIAH,6.637456,100.2207,
4495,BATU 16,6.635853,100.217428,
4496,MASJID JABAL AL-ALA CP,6.632247,100.209472,
