stop_id,stop_name,stop_lat,stop_lon,zone
7496,KEDAI UNIFI KELANTAN,6.127744,102.241806,
7497,STESEN BAS KOTA BHARU,6.128142,102.239464,
7498,TAMAN KEMUMIN PENGKALAN CHEPA,6.147989,102.301042,
7499,NAGOYA,6.127519,102.245078,
7500,KELANTAN STATE MUSEUM,6.125153,102.238242,
7501,SK PADANG GARONG,6.125139,102.240944,
7502,PADANG GARONG,6.126106,102.242122,
7503,WISMA KDRM / ROYAL THAI CONSULATE GENERAL,6.130411,102.251047,
7504,MAAHAD MUHAMMADI LELAKI,6.132419,102.257406,
7505,KLINIK DARULNAIM,6.136278,102.264014,
7506,TANJUNG MAS,6.138342,102.26495,
7507,TAMAN UDA MURNI,6.144125,102.266767,
7508,KG GAYONG PENGKALAN CHEPA,6.145853,102.267508,
7509,KFC PENGKALAN CHEPA DRIVE THRU,6.147342,102.267853,
7510,SASABELL BEAUTY HQ,6.150606,102.269283,
7511,FOOD VILLAGE RESTAURANT,6.152633,102.269864,
7512,LORONG MASJID AL KAROMAH,6.154892,102.271219,
7513,KG BAUNG,6.156061,102.273228,
7514,SHELL KG BAUNG,6.157892,102.275156,
7515,PASAR TOK GURU,6.160272,102.276358,
7516,CHABANG TIGA,6.162392,102.277856,
7517,SMK PENGKALAN CHEPA,6.161992,102.282686,
7518,IPG KOTA BHARU,6.161856,102.292967,
7519,JALAN PADANG GOLF,6.160203,102.301056,
7520,TAMAN KURNIA JAYA 1,6.159581,102.306172,
7521,TAMAN KURNIA JAYA 2,6.158933,102.311031,
7522,SMS TENGKU MUHAMMAD FARIS PETRA,6.158461,102.299594,
7523,SMK PENGKALAN CHEPA 2,6.155353,102.297658,
7524,MRSM PENGKALAN CHEPA,6.156322,102.2945,
7525,IPD KOTA BHARU,6.156242,102.288819,
7526,MASJID TOK HAJI YAHYA,6.152153,102.288219,
7527,TAMAN DESA KEMUMIN,6.148681,102.291719,
7528,TAMAN BINARAYA,6.147264,102.293031,
7529,TAMAN MEMORIAL,6.145511,102.294486,
7530,KAWASAN PERINDUSTRIAN PENGKALAN CHEPA,6.143489,102.299228,
7531,AMANAH SAHAM NASIONAL BERHAD,6.129497,102.242908,
7532,DATARAN CHENG HO,6.130628,102.24315,
7533,SHELL JALAN KEBUN SULTAN,6.134094,102.244278,
7534,SMK KOTA BHARU,6.134978,102.249653,
7535,RESTORAN SATAY MALAYSIA,6.132661,102.254011,
7536,TANJUNG MAS 2,6.136903,102.264686,
7537,SRA TENGKU AMALIN AISHAH PUTRI,6.137331,102.269378,
7538,KG PENGKALAN TOK KASIM,6.174097,102.323169,
7539,SK SERI CHEMPAKA,6.136958,102.271717,
7540,KG RAMBUTAN RENDANG,6.136803,102.274831,
7541,KG CHEMPAKA,6.137139,102.279578,
7542,KG BERIS LANJUT,6.136817,102.288617,
7543,WISMA SINAR,6.133519,102.294861,
7544,KG BERIS LANJUT 2,6.131517,102.298594,
7545,KEBUN NUR IMAN,6.130689,102.299925,
7546,PANJI,6.130486,102.302133,
7547,KG PANCHOR,6.139456,102.307397,
7548,KG KEMUMIN,6.143853,102.311353,
7549,SMK KEMUMIN,6.14665,102.313925,
7550,KLINIK DESA KEMUMIN,6.153469,102.317831,
7551,RESTORAN DSARI AIRPORT,6.161928,102.322881,
7552,KELANTAN POLO & RIDING CLUB,6.164903,102.322742,
7553,TEBING TINGGI,6.171353,102.321006,
7554,SABAK COFFEE HOUSE,6.173453,102.320967,
7555,PANDAMART KOTA BHARU,6.138467,102.245194,
7556,MASJID RITHAUDEEN WAKAF MEK ZAINAB,6.141297,102.245653,
7557,TAMAN PERBANDARAN TENGKU ANIS,6.144017,102.251767,
7558,SMK TANJUNG MAS,6.144911,102.259336,
7559,KOLEJ TEKNOLOGI DARULNAIM,6.14225,102.265586,
7560,PERNAMA PENGKALAN CHEPA,6.170072,102.284469,
7561,LAPANGAN TERBANG SULTAN ISMAIL PETRA,6.170606,102.289481,
7562,TAMAN SERI PENGKALAN CHEPA,6.17045,102.2929,
7563,CAAM KOTA BHARU,6.170122,102.294803,
7564,PEJABAT PENGGAWA DAERAH KEMUMIN,6.169808,102.296022,
7565,KG TOK KAYA,6.169297,102.301525,
7566,SK PARANG PUTING,6.168694,102.304425,
7567,TELUK KITANG,6.168211,102.309108,
7568,AGRO BAZAAR KEDAI RAKYART,6.171447,102.315539,
7569,TEBING TINGGI 2,6.172978,102.319781,
7570,PANTAI CAHAYA BULAN,6.1955,102.27335,
7571,MAAHAD MUHAMMADI PEREMPUAN,6.133583,102.241956,
7572,MASJID MUHAMMADI,6.132336,102.236786,
7573,SMJK CHUNG HWA,6.138131,102.237658,
7574,GOK KAPOR,6.141547,102.235858,
7575,SK PENAMBANG,6.144725,102.236806,
7576,SMK PENAMBANG,6.147653,102.239372,
7577,KG TIKAT,6.152861,102.244592,
7578,SULTAN ISMAIL PETRA MOSQUE,6.157728,102.245606,
7579,AZRA INN,6.160917,102.246911,
