stop_id,stop_name,stop_lat,stop_lon,zone
6518,TERMINAL TAMAN MALIHAH,1.547947,110.240389,
6519,TAMAN MALIHAH 1,1.55405,110.244936,
6520,MATANG JAYA,1.573178,110.296775,
6521,TERMINAL SAUJANA PARKING,1.557719,110.342517,
6523,EMART MATANG,1.572653,110.302853,
6524,SATOK 1,1.553003,110.336086,
6525,SATOK 2,1.553211,110.333206,
6526,SATOK 3,1.553467,110.328956,
6527,OPP BANGUNAN MARZUKI,1.556814,110.322778,
6530,PENDIDIKAN JALAN MATANG,1.564783,110.312733,
6534,COPAL SATOK,1.554181,110.335272,
6535,SEGO PRECINT 1,1.554325,110.332047,
6537,TAMAN SEJOLI,1.564611,110.3215,
6539,AMBANK SATOK,1.554839,110.338447,
6541,BANGUNAN MARZUKI,1.556761,110.323217,
6542,TAMAN HUSSEIN,1.564244,110.321806,
6543,JALAN SEMARAK,1.563486,110.315975,
6544,JALAN MATANG 4 EVERHYPER AUTO,1.564503,110.313442,
6545,TAMAN DAHLIA,1.567378,110.310244,
6546,MATANG JAYA 2,1.573072,110.301647,
6549,MATANG JAYA 1,1.573269,110.298839,
6553,JALAN MATANG JAYA 3,1.574228,110.282086,
6556,JALAN MATANG 2 SURIA JAYA,1.572881,110.271072,
6558,BOULEVARD,1.507922,110.335478,
6559,JALAN DB MUSTAPHA,1.499489,110.333686,
6561,OPP BEDDING & CO,1.505953,110.333433,
6562,EVERISE BATU 4,1.507883,110.333664,
6563,THE BANQUET RESIDENCES,1.514878,110.333564,
6564,JALAN MATANG 1 TAMAN MAKMUR,1.573403,110.269025,
6567,SM SAINS,1.567528,110.257972,
6569,TAMAN MALIHAH 4,1.554622,110.255461,
6571,JLN TAZA (OPP BADARUDDIN),1.550003,110.341269,
6572,TAMAN MALIHAH 3,1.555022,110.249097,
6574,OPP TAMAN MALIHAH 2,1.554058,110.244703,
6580,OPPOSITE LAVIZO,1.519139,110.329281,
6581,SUNNY HILL,1.521283,110.3352,
6582,OPP TIMBERLAND,1.522656,110.338933,
6583,LEVEL UP ROCK ROAD,1.5267416,110.341313,
6584,COURT MAMMOTH - IB,1.5316402,110.3417589,
6585,OPP ROCK ROAD SEAFOOD - IB,1.5343815,110.3412533,
6586,TM BATU LINTANG,1.534631,110.345392,
6588,SHELL BATU LINTANG,1.540011,110.353414,
6589,THE SPRING KUCHING,1.536758,110.356328,
6590,BANGUNAN SULTAN ISKANDAR,1.5320537,110.3587649,
6591,WATERFRONT 1,1.560269,110.344997,
6592,WATERFRONT 2,1.557758,110.348589,
6593,WATERFRONT 3,1.558278,110.351192,
6595,JALAN ABELL,1.556958,110.355125,
6596,PADUNGAN 1 OB,1.552528,110.3616,
6597,PADUNGAN 2,1.552317,110.363881,
6598,PADUNGAN 3,1.550658,110.367503,
6605,PASAR DEMAK LAUT,1.586806,110.418003,
6606,BAKO 2,1.586867,110.425722,
6607,BAKO 3,1.588806,110.429178,
6608,BAKO 4,1.594389,110.438339,
6610,SMK BAKO,1.645253,110.448872,
6611,KAMPUNG BAKO 1,1.656953,110.439689,
6614,PCC DEMAK,1.5913,110.434075,
6629,JALAN KWONG LEE BANK,1.554106,110.381253,
6630,JLN PENDING 1 IB,1.549517,110.379197,
6631,JLN PENDING 2 IB,1.548658,110.376061,
6632,JLN PENDING 3 IB,1.549706,110.374222,
6633,JLN PENDING 4 IB,1.549647,110.370869,
6634,JLN PADUNGAN 1 IB,1.550033,110.367514,
6635,JLN PADUNGAN 2 IB,1.552314,110.362097,
6636,RIVERSIDE MAJESTIC HOTEL,1.558186,110.351792,
6638,HERITAGE GARDEN,1.560731,110.321789,
6639,SMK PETRAJAYA,1.565642,110.318608,
6641,JALAN MATANG 1,1.576872,110.254922,
6642,JALAN MATANG 2,1.577931,110.25085,
6643,JALAN MATANG 3,1.582456,110.23395,
6644,JALAN MATANG 4,1.601297,110.224761,
6645,HENTIAN SMKA MATANG,1.635117,110.195592,
6646,POLITEKNIK KCH,1.629342,110.195694,
6647,FAMILY PARK,1.614575,110.200719,
6648,KPG SUNGAI AGAS BARU,1.611833,110.209106,
6649,TAMAN JUBLEE MAS,1.608289,110.2244,
6650,KPG MATANG LOT,1.596683,110.225919,
6651,BATU 10 KPG MATANG,1.593342,110.226394,
6652,LORONG KPG MATANG 2,1.585019,110.2264,
6653,BATU 9 - TAMAN SRI JAYA,1.582867,110.233111,
6654,KOLEJ VOKASIONAL MATANG,1.581917,110.236714,
6655,BATU 8 - TAMAN GEMILANG,1.580039,110.243447,
6656,SJK CHUNG HUA BATU 7,1.576753,110.255958,
6657,TAMAN MATANG VILLA,1.573531,110.268847,
6658,TAMAN SURIA JAYA,1.572908,110.271108,
6659,BATU 5 - TAMAN DAHLIA,1.574244,110.282133,
6661,KAMPUNG BENUK,1.308353,110.293608,
6663,KAMPUNG PUNAU,1.342944,110.307922,
6664,OPP SJKCH BATU 15,1.360181,110.319147,
6665,PULAPOL KCH,1.364481,110.321306,
6666,SEMENGGOH NATIONAL PARK,1.400278,110.324917,
6667,KAMPUNG SRI ARJUNA,1.413794,110.325503,
6668,ST ANN CHURCH,1.422133,110.325428,
6669,SJKCH BATU 10,1.424997,110.326161,
6670,MPP,1.427319,110.326336,
6675,BORNEO HOUSE MUSEUM,1.470078,110.328278,
6676,EVERWIN KOTA SENTOSA,1.476083,110.330283,
6677,OPP KCH SENTRAL,1.482231,110.330986,
6678,SK HARDWARE,1.491278,110.330506,
6679,SIMPANG SEMABA,1.494578,110.331142,
6680,SJKCH BATU 4 1/2,1.502,110.332792,
6684,JALAN RR (TMC),1.521889,110.338108,
