service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
SUN,0,0,0,0,0,0,1,20260407,20260703
MONSAT,1,1,1,1,1,1,0,20260407,20260703
MONTHURS,1,1,1,1,0,0,0,20260407,20260703
WEEKDAY,1,1,1,1,1,0,0,20260407,20260703
FRISUN,0,0,0,0,1,1,1,20260407,20260703
PUBLICHOLIDAY,1,1,1,1,1,1,1,20260407,20260703
WEEKEND,0,0,0,0,0,1,1,20260407,20260703
ALLDAY,1,1,1,1,1,1,1,20260407,20260703
FRISAT,0,0,0,0,1,1,0,20260407,20260703
SUNTHURS,1,1,1,1,0,0,1,20260407,20260703
FRIDAY,0,0,0,0,1,0,0,20260407,20260703
MONWED,1,1,1,0,0,0,0,20260407,20260703
SATTHURS,1,1,1,1,0,1,1,20260407,20260703
THURSSUN,0,0,0,1,1,1,1,20260407,20260703
SAT,0,0,0,0,0,1,0,20260407,20260703
THURSSUNPH,0,0,0,1,1,1,1,20260407,20260703
PUBLICHOLIDAYSABAH,1,1,1,1,1,1,1,20260407,20260703
PUBLICHOLIDAYSINGAPORE,1,1,1,1,1,1,1,20260407,20260703
