leg_group_id,from_area_id,to_area_id,fare_product_id
BA,area_90007918,area_90013346,M10ACWLMYMK_7918_13346_Adult_Cash
BA,area_90007918,area_90013346,M10ACWLMYMK_7918_13346_Adult_Card
BA,area_90007918,area_90013346,M10ACWLMYMK_7918_13346_Senior_Cash
BA,area_90007918,area_90013346,M10ACWLMYMK_7918_13346_Senior_Card
BA,area_90007918,area_90013346,M10ACWLMYMK_7918_13346_Child_Cash
BA,area_90007918,area_90013346,M10ACWLMYMK_7918_13346_Child_Card
BA,area_90007918,area_90013348,M10ACWLMYMK_7918_13348_Adult_Cash
BA,area_90007918,area_90013348,M10ACWLMYMK_7918_13348_Adult_Card
BA,area_90007918,area_90013348,M10ACWLMYMK_7918_13348_Child_Cash
BA,area_90007918,area_90013348,M10ACWLMYMK_7918_13348_Child_Card
BA,area_90007918,area_90013348,M10ACWLMYMK_7918_13348_Senior_Cash
BA,area_90007918,area_90013348,M10ACWLMYMK_7918_13348_Senior_Card
BA,area_90007918,area_90013350,M10ACWLMYMK_7918_13350_Adult_Cash
BA,area_90007918,area_90013350,M10ACWLMYMK_7918_13350_Adult_Card
BA,area_90007918,area_90013350,M10ACWLMYMK_7918_13350_Senior_Cash
BA,area_90007918,area_90013350,M10ACWLMYMK_7918_13350_Senior_Card
BA,area_90007918,area_90013350,M10ACWLMYMK_7918_13350_Child_Cash
BA,area_90007918,area_90013350,M10ACWLMYMK_7918_13350_Child_Card
BA,area_90007918,area_90013352,M10ACWLMYMK_7918_13352_Adult_Cash
BA,area_90007918,area_90013352,M10ACWLMYMK_7918_13352_Adult_Card
BA,area_90007918,area_90013352,M10ACWLMYMK_7918_13352_Senior_Cash
BA,area_90007918,area_90013352,M10ACWLMYMK_7918_13352_Senior_Card
BA,area_90007918,area_90013352,M10ACWLMYMK_7918_13352_Child_Cash
BA,area_90007918,area_90013352,M10ACWLMYMK_7918_13352_Child_Card
BA,area_90007918,area_90013354,M10ACWLMYMK_7918_13354_Adult_Cash
BA,area_90007918,area_90013354,M10ACWLMYMK_7918_13354_Adult_Card
BA,area_90007918,area_90013354,M10ACWLMYMK_7918_13354_Senior_Cash
BA,area_90007918,area_90013354,M10ACWLMYMK_7918_13354_Senior_Card
BA,area_90007918,area_90013354,M10ACWLMYMK_7918_13354_Child_Cash
BA,area_90007918,area_90013354,M10ACWLMYMK_7918_13354_Child_Card
BA,area_90007918,area_90013358,M10ACWLMYMK_7918_13358_Adult_Cash
BA,area_90007918,area_90013358,M10ACWLMYMK_7918_13358_Adult_Card
BA,area_90007918,area_90013358,M10ACWLMYMK_7918_13358_Child_Cash
BA,area_90007918,area_90013358,M10ACWLMYMK_7918_13358_Child_Card
BA,area_90007918,area_90013358,M10ACWLMYMK_7918_13358_Senior_Cash
BA,area_90007918,area_90013358,M10ACWLMYMK_7918_13358_Senior_Card
BA,area_90007918,area_90013356,M10ACWLMYMK_7918_13356_Adult_Cash
