stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
90013985,13985,Terminal Jasin Sentral,BA:Terminal Jasin Sentral,2.31327,102.43113,90013985,http://otp.transitos.io/otpws/api/cities/6/index/stops/1:90013985,0,
90013399,13399,Pantai Hospital Meaka,BA:Pantai Hospital Meaka,2.2371,102.28748,90013399,http://otp.transitos.io/otpws/api/cities/6/index/stops/1:90013399,0,
90013941,13941,SJK (T) Pekan Tebong,BA:SJK (T) Pekan Tebong,2.44083,102.34006,90013941,http://otp.transitos.io/otpws/api/cities/6/index/stops/1:90013941,0,
90013829,13829,Surau Sungai Udang Jaya,BA:Surau Sungai Udang Jaya,2.26885,102.14357,90013829,http://otp.transitos.io/otpws/api/cities/6/index/stops/1:90013829,0,
90013384,13384,UTEM,BA:UTEM,2.3135,102.3199,90013384,http://otp.transitos.io/otpws/api/cities/6/index/stops/1:90013384,0,
90013360,13360,Opp SK Batu Berendam 1,BA:Opp SK Batu Berendam 1,2.24813,102.2556,90013360,http://otp.transitos.io/otpws/api/cities/6/index/stops/1:90013360,0,
90013727,13727,Ampang Steel,BA:Ampang Steel,2.25755,102.29181,90013727,http://otp.transitos.io/otpws/api/cities/6/index/stops/1:90013727,0,
90013537,13537,Taman Melati,BA:Taman Melati,2.21043,102.2129,90013537,http://otp.transitos.io/otpws/api/cities/6/index/stops/1:90013537,0,
90013851,13851,Petronas Masjid Tanah,BA:Petronas Masjid Tanah,2.3475,102.11023,90013851,http://otp.transitos.io/otpws/api/cities/6/index/stops/1:90013851,0,
90013584,13584,Taman Panjang Impian,BA:Taman Panjang Impian,2.22157,102.18122,90013584,http://otp.transitos.io/otpws/api/cities/6/index/stops/1:90013584,0,
90013442,13442,Taman Merdeka Jaya,BA:Taman Merdeka Jaya,2.27131,102.24631,90013442,http://otp.transitos.io/otpws/api/cities/6/index/stops/1:90013442,0,
90013871,13871,Taman Balai Panjang,BA:Taman Balai Panjang,2.23507,102.22437,90013871,http://otp.transitos.io/otpws/api/cities/6/index/stops/1:90013871,0,
90013397,13397,Opp Kompleks Mahkamah Melaka,BA:Opp Kompleks Mahkamah Melaka,2.23489,102.28528,90013397,http://otp.transitos.io/otpws/api/cities/6/index/stops/1:90013397,0,
90013489,13489,Taman Krubong Perdana,BA:Taman Krubong Perdana,2.3278,102.24962,90013489,http://otp.transitos.io/otpws/api/cities/6/index/stops/1:90013489,0,
90013579,13579,PPR Tangga Batu,BA:PPR Tangga Batu,2.2466,102.16162,90013579,http://otp.transitos.io/otpws/api/cities/6/index/stops/1:90013579,0,
90013527,13527,Persatuan Badminton Melaka,BA:Persatuan Badminton Melaka,2.2027,102.23574,90013527,http://otp.transitos.io/otpws/api/cities/6/index/stops/1:90013527,0,
90013821,13821,Balai Raya Tangga Batu,BA:Balai Raya Tangga Batu,2.24931,102.15611,90013821,http://otp.transitos.io/otpws/api/cities/6/index/stops/1:90013821,0,
90013638,13638,Pasar Besar Mbsb,BA:Pasar Besar Mbsb,2.23501,102.24822,90013638,http://otp.transitos.io/otpws/api/cities/6/index/stops/1:90013638,0,
90013382,13382,Mini Malaysia,BA:Mini Malaysia,2.28355,102.30352,90013382,http://otp.transitos.io/otpws/api/cities/6/index/stops/1:90013382,0,
90013354,13354,Opp Taman Mutiara Melaka,BA:Opp Taman Mutiara Melaka,2.24047,102.2589,90013354,http://otp.transitos.io/otpws/api/cities/6/index/stops/1:90013354,0,
90013701,13701,Kampung Pulau Sebang,BA:Kampung Pulau Sebang,2.45275,102.23196,90013701,http://otp.transitos.io/otpws/api/cities/6/index/stops/1:90013701,0,
90013931,13931,SBPI Batang Melaka,BA:SBPI Batang Melaka,2.46381,102.4118,90013931,http://otp.transitos.io/otpws/api/cities/6/index/stops/1:90013931,0,
90013916,13916,Kampung Machap Baru,BA:Kampung Machap Baru,2.3798,102.33066,90013916,http://otp.transitos.io/otpws/api/cities/6/index/stops/1:90013916,0,
90013914,13914,Klinik Kesihatan Machap Baru,BA:Klinik Kesihatan Machap Baru,2.3771,102.33823,90013914,http://otp.transitos.io/otpws/api/cities/6/index/stops/1:90013914,0,
90013764,13764,Masjid Ar Rahman,BA:Masjid Ar Rahman,2.3432,102.25768,90013764,http://otp.transitos.io/otpws/api/cities/6/index/stops/1:90013764,0,
90013548,13548,Taman Bertam Perdana 1,BA:Taman Bertam Perdana 1,2.24046,102.2147,90013548,http://otp.transitos.io/otpws/api/cities/6/index/stops/1:90013548,0,
90013692,13692,Sk Padang Sebang,BA:Sk Padang Sebang,2.42678,102.25009,90013692,http://otp.transitos.io/otpws/api/cities/6/index/stops/1:90013692,0,
90013388,13388,Perbadanan Perpustakaan Awam Melaka,BA:Perbadanan Perpustakaan Awam Melaka,2.21645,102.26958,90013388,http://otp.transitos.io/otpws/api/cities/6/index/stops/1:90013388,0,
90013636,13636,Opp Petronas Bachang,BA:Opp Petronas Bachang,2.23721,102.24699,90013636,http://otp.transitos.io/otpws/api/cities/6/index/stops/1:90013636,0,
90013359,13359,SK Batu Berendam 1,BA:SK Batu Berendam 1,2.24807,102.25553,90013359,http://otp.transitos.io/otpws/api/cities/6/index/stops/1:90013359,0,
90013480,13480,Opp Lt Hardware,BA:Opp Lt Hardware,2.28585,102.24142,90013480,http://otp.transitos.io/otpws/api/cities/6/index/stops/1:90013480,0,
