route_id,agency_id,route_short_name,route_long_name,route_type
N50,MYBUSKR,TERMINAL1 - NILAI SENTRAL,TERMINAL1 - NILAI SENTRAL,3
N505,MYBUSKR,TERMINAL1 - BUKIT MUTIARA LOOP,TERMINAL1 - BUKIT MUTIARA LOOP,3
N508,MYBUSKR,TERMINAL1 - DESA RHU LOOP,TERMINAL1 - DESA RHU LOOP,3
N51,MYBUSKR,NILAI SENTRAL - NILAI 3,NILAI SENTRAL - NILAI 3,3
N513,MYBUSKR,NILAI SENTRAL - USIM LOOP,NILAI SENTRAL - USIM LOOP,3
N52,MYBUSKR,TERMINAL1 - NILAI VIA LABU,TERMINAL1 - NILAI VIA LABU,3
N54,MYBUSKR,TERMINAL1 - SEREMBAN2,TERMINAL1 - SEREMBAN2,3
N56,MYBUSKR,TERMINAL1 - POLITEKNIK NILAI,TERMINAL1 - POLITEKNIK NILAI,3
N57,MYBUSKR,NILAI SENTRAL - KLIA,NILAI SENTRAL - KLIA,3
N60A,MYBUSKR,TERMINAL1 - TAMPIN VIA SENAWANG,TERMINAL1 - TAMPIN VIA SENAWANG,3
N60B,MYBUSKR,TERMINAL1 - TAMPIN VIA SEREMBAN JAYA,TERMINAL1 - TAMPIN VIA SEREMBAN JAYA,3
