shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
R1705001,2.7215362,101.9372141,1
R1705001,2.7228809,101.9376292,2
R1705001,2.7257866,101.9298220,3
R1705001,2.7254532,101.9279230,4
R1705001,2.7236581,101.9273704,5
R1705001,2.7206038,101.9220543,6
R1705001,2.7183372,101.9202787,7
R1705001,2.6990683,101.9110948,8
R1705001,2.6959265,101.9084402,9
R1705001,2.6941461,101.9057138,10
R1705001,2.6913159,101.9056217,11
R1705001,2.6897249,101.9057185,12
R1705001,2.6833935,101.9036912,13
R1705001,2.6797610,101.9029792,14
R1705001,2.6768359,101.9028916,15
R1705001,2.6768199,101.8929701,16
R1705001,2.6760857,101.8754482,17
R1705001,2.6686666,101.8748032,18
R1705001,2.6657022,101.8746058,19
R1705001,2.6635270,101.8789863,20
R1705001,2.6635251,101.8835163,21
R1705001,2.6633366,101.8869725,22
R1705001,2.6571644,101.8804049,23
R1705001,2.6608619,101.8667471,24
R1705001,2.6676651,101.8531882,25
R1705001,2.6697794,101.8508180,26
R1705001,2.6715634,101.8458338,27
R1705001,2.6733994,101.8437119,28
R1705001,2.6745260,101.8483969,29
R1705001,2.6793651,101.8470544,30
R1705001,2.6964213,101.8344748,31
R1705001,2.7012064,101.8317926,32
R1705001,2.7019138,101.7979399,33
R1705001,2.6958801,101.7974979,34
R1705001,2.7211685,101.7876305,35
R1705001,2.7220855,101.7938754,36
R1705001,2.7277690,101.7987993,37
R1705001,2.7281782,101.7934805,38
R1705001,2.7295115,101.7898490,39
R1705002,2.7295115,101.7898490,1
R1705002,2.7281782,101.7934805,2
R1705002,2.7277690,101.7987993,3
R1705002,2.7220855,101.7938754,4
R1705002,2.7211685,101.7876305,5
R1705002,2.6958801,101.7974979,6
R1705002,2.7019138,101.7979399,7
R1705002,2.7012064,101.8317926,8
R1705002,2.6964213,101.8344748,9
R1705002,2.6793651,101.8470544,10
R1705002,2.6745260,101.8483969,11
R1705002,2.6733994,101.8437119,12
R1705002,2.6715634,101.8458338,13
R1705002,2.6697794,101.8508180,14
R1705002,2.6676651,101.8531882,15
R1705002,2.6608619,101.8667471,16
R1705002,2.6571644,101.8804049,17
R1705002,2.6633366,101.8869725,18
R1705002,2.6635251,101.8835163,19
R1705002,2.6635270,101.8789863,20
R1705002,2.6657022,101.8746058,21
R1705002,2.6686666,101.8748032,22
R1705002,2.6760857,101.8754482,23
R1705002,2.6768199,101.8929701,24
R1705002,2.6768359,101.9028916,25
R1705002,2.6797610,101.9029792,26
R1705002,2.6833935,101.9036912,27
R1705002,2.6893315,101.9054104,28
R1705002,2.6913159,101.9056217,29
R1705002,2.6941461,101.9057138,30
R1705002,2.6959265,101.9084402,31
R1705002,2.6990128,101.9110103,32
R1705002,2.7184123,101.9200641,33
R1705002,2.7203520,101.9218236,34
R1705002,2.7254532,101.9279230,35
R1705002,2.7257866,101.9298220,36
R1705002,2.7215201,101.9371551,37
R1705003,2.8022037,101.7984688,1
R1705003,2.8049416,101.8006468,2
R1705003,2.8098817,101.8047345,3
R1705003,2.8120828,101.7990539,4
