route_id,agency_id,route_short_name,route_long_name,route_type
N10A,MYBUSGOPI,TERMINAL 1 - BAHAU VIA JUASEH,TERMINAL 1 - BAHAU VIA JUASEH,3
N10B,MYBUSGOPI,TERMINAL 1 - BAHAU VIA BT KIKIR,TERMINAL 1 - BAHAU VIA BT KIKIR,3
N11,MYBUSGOPI,KUALA PILAH - BETING UITM,KUALA PILAH - BETING UITM,3
N30A,MYBUSGOPI,TERMINAL 1-PORT DICKSON VIA SPRINGHILL,TERMINAL 1-PORT DICKSON VIA SPRINGHILL,3
N30B,MYBUSGOPI,TERMINAL 1-PORT DICKSON VIA SPG SILIAU,TERMINAL 1-PORT DICKSON VIA SPG SILIAU,3
N31,MYBUSGOPI,TERMINAL1-PEKAN LINGGI,TERMINAL1-PEKAN LINGGI,3
N32,MYBUSGOPI,PORT DICKSON - POLYMALL,PORT DICKSON - POLYMALL,3
N34,MYBUSGOPI,POLYMALL - TANJUNG AGAS,POLYMALL - TANJUNG AGAS,3
N53,MYBUSGOPI,TERMINAL 1- PORT DICKSON VIA RANTAU,TERMINAL 1- PORT DICKSON VIA RANTAU,3
N70,MYBUSGOPI,TERMINAL 1 - KUALA KLAWANG - TITI,TERMINAL 1 - KUALA KLAWANG - TITI,3
N71,MYBUSGOPI,KUALA KLAWANG - KAMPUNG CHENNAH,KUALA KLAWANG - KAMPUNG CHENNAH,3
