stop_id,stop_code,stop_name,stop_lat,stop_lon,parent_station
SPGPLGI_44,44,SPG PELANGAI,2.77074154,102.26712574,
SPGPLGI_44R,44R,SPG PELANGAI,2.77074154,102.26712574,
KGPUOM_45,45,KAMPUNG PUOM,3.07263980,102.10860752,
KGPUOM_45R,45R,KAMPUNG PUOM,3.07618267,102.10633045,
KGPUOM_T71,T71,KAMPUNG PUOM,3.06729915,102.11155974,
KGPUOM_T71R,T71R,KAMPUNG PUOM,3.06729915,102.11155973,
RKUB_RKUB,RKUB,HUTAN LIPUR ULU BENDUL,2.73092401,102.07819104,
RKUB_RKUBR,RKUBR,HUTAN LIPUR ULU BENDUL,2.73052214,102.07850754,
RKUB_RKUB1,RKUB1,HUTAN LIPUR ULU BENDUL,2.73052214,102.07850754,
RKUB_RKUB1R,RKUB1R,HUTAN LIPUR ULU BENDUL,2.73052214,102.07850754,
SRUB_SRUBR,SRUBR,TAMAN SRI ULU BENDUL,2.73375320,102.08902180,
SRUB_SRUB1,SRUB1,TAMAN SRI ULU BENDUL,2.73375320,102.08902180,
SRUB_SRUB1R,SRUB1R,TAMAN SRI ULU BENDUL,2.73375320,102.08902180,
SRUB_SRUB,SRUB,TAMAN SRI ULU BENDUL,2.73393300,102.08881000,
SKUB_SKUB,SKUB,SK ULU BENDUL,2.73537141,102.09494412,
SKUB_SKUBR,SKUBR,SK ULU BENDUL,2.73517852,102.09501922,
SKUB_SKUB1,SKUB1,SK ULU BENDUL,2.73517852,102.09501922,
SKUB_SKUB1R,SKUB1R,SK ULU BENDUL,2.73517852,102.09501922,
MJUB_MJUB,MJUB,MASJID KARIAH ULU BENDUL,2.73723610,102.10685849,
MJUB_MJUBR,MJUBR,MASJID KARIAH ULU BENDUL,2.73705928,102.10694432,
MJUB_MJUB1,MJUB1,MASJID KARIAH ULU BENDUL,2.73727815,102.10681419,
MJUB_MJUB1R,MJUB1R,MASJID KARIAH ULU BENDUL,2.73727815,102.10681419,
KUMP_KUMP,KUMP,KAMPUNG ULU MAMPAS,2.73975986,102.12722182,
KUMP_KUMPR,KUMPR,KAMPUNG ULU MAMPAS,2.73975986,102.12722182,
KUMP_KUMP1,KUMP1,KAMPUNG ULU MAMPAS,2.74062122,102.12877543,
KUMP_KUMP1R,KUMP1R,KAMPUNG ULU MAMPAS,2.74062122,102.12877543,
KKTC_KKTC,KKTC,KLINIK KESIHATAN TERACHI,2.74199962,102.13498414,
KKTC_KKTCR,KKTCR,KLINIK KESIHATAN TERACHI,2.74199962,102.13498413,
KKTC_KKTC1,KKTC1,KLINIK KESIHATAN TERACHI,2.74199962,102.13498413,
KKTC_KKTC1R,KKTC1R,KLINIK KESIHATAN TERACHI,2.74199962,102.13498413,
PTNB_PTNB,PTNB,PENCAWANG TNB,2.80086866,101.75966783,
PTNB_PTNBR,PTNBR,PENCAWANG TNB,2.80086866,101.75966783,
PTNB_PCWGTNB,PCWGTNB,PENCAWANG TNB,2.72951147,101.78984898,
PTNB_PCWGTNBR,PCWGTNBR,PENCAWANG TNB,2.72951147,101.78984898,
PTNB_PT,PT,PENCAWANG TNB,2.72951147,101.78984898,
PPKR1_PPKR1,PPKR1,PAROI PAKAR1,2.71610800,102.01355000,
PPKR1_PPKR1R,PPKR1R,PAROI PAKAR1,2.71640822,102.01277196,
NS_NS,NS,NILAI SENTRAL,2.80220369,101.79846883,
NS_NS2,NS2,NILAI SENTRAL,2.80220369,101.79846882,
NS_NS512,NS512,NILAI SENTRAL,2.80220369,101.79846882,
NS_56,56,NILAI SENTRAL,2.80220369,101.79846882,
NS_56R,56R,NILAI SENTRAL,2.80220369,101.79846882,
NS_52,52,NILAI SENTRAL,2.80220369,101.79846882,
NS_52R,52R,NILAI SENTRAL,2.80220369,101.79846882,
NS_57R,57R,NILAI SENTRAL,2.80220369,101.79846882,
TKPYG_TKPYG,TKPYG,TMN KEPAYANG,2.81149978,102.36544490,
TKPYG_TKPYGR,TKPYGR,TMN KEPAYANG,2.81149978,102.36544489,
TKPYG_KP,KP,TMN KEPAYANG,2.81266087,102.36407143,
TKPYG_KPR,KPR,TMN KEPAYANG,2.81266087,102.36407143,
SKTM_SK,SK,SK TUNKU MUDA SERTING,2.81011369,102.36936017,
SKTM_SKR,SKR,SK TUNKU MUDA SERTING,2.81011369,102.36936017,
SKTM_SKTM,SKTM,SK TUNKU MUDA SERTING,2.80954948,102.37028360,
SKTM_SKTMR,SKTMR,SK TUNKU MUDA SERTING,2.80954948,102.37028360,
TZ_TZ1,TZ1,TERATAK ZAABA,2.83094902,102.33087659,
TZ_TZ1R,TZ1R,TERATAK ZAABA,2.83094902,102.33087658,
TZ_TZ2,TZ2,TERATAK ZAABA,2.83094902,102.33087658,
TZ_TZ2R,TZ2R,TERATAK ZAABA,2.83094902,102.33087658,
PNDKPOLIS_PNDKPOLIS,PNDKPOLIS,PONDOK POLIS KLIA,2.76261975,101.76314418,
PNDKPOLIS_PNDKPOLISR,PNDKPOLISR,PONDOK POLIS KLIA,2.76261975,101.76314418,
TAGM_TAGM,TAGM,TAMAN ANGSAMAS,2.65167280,101.92499490,
TAGM_TAGMR,TAGMR,TAMAN ANGSAMAS,2.65167280,101.92499490,
TAGM_AM,AM,TAMAN ANGSAMAS,2.64906769,101.92376525,
TAGM_AMR,AMR,TAMAN ANGSAMAS,2.64906769,101.92376525,
KGBLKN_KGBLKNR,KGBLKNR,KG BELANGKAN,2.65212191,101.94060981,
KGBLKN_KGB,KGB,KG BELANGKAN,2.65237281,101.94060981,
KGBLKN_KGBR,KGBR,KG BELANGKAN,2.65237281,101.94060981,
KGBLKN_KGBLKN,KGBLKN,KG BELANGKAN,2.65237281,101.94036415,
PROTONJR_PROTONJR,PROTONJR,PROTON RAHANG,2.71069080,101.95234716,
PROTONJR_PROTONJRR,PROTONJRR,PROTON RAHANG,2.71069080,101.95234715,
UITMS3_UITMS32,UITMS32,UITM SEREMBAN 3,2.67328661,101.93531701,
UITMS3_UITMS32R,UITMS32R,UITM SEREMBAN 3,2.67328661,101.93531700,
UITMS3_UITMS31,UITMS31,UITM SEREMBAN 3,2.67399667,101.93586166,
UITMS3_UITMS31R,UITMS31R,UITM SEREMBAN 3,2.67337423,101.93464994,
BIRDP_BIRDP,BIRDP,PUSAT PERNIAGAAN SEREMBAN 3/BIRD PARADISE,2.67749497,101.93654895,
BIRDP_BIRDPR,BIRDPR,PUSAT PERNIAGAAN SEREMBAN 3/BIRD PARADISE,2.67749497,101.93654894,
BIRDP_BP,BP,PUSAT PERNIAGAAN SEREMBAN 3/BIRD PARADISE,2.67749497,101.93654894,
BIRDP_BPR,BPR,PUSAT PERNIAGAAN SEREMBAN 3/BIRD PARADISE,2.67749497,101.93654894,
SMKBDRENS_SMKBDRENS,SMKBDRENS,SMK BANDAR ENSTEK,2.75079443,101.76707881,
SMKBDRENS_SMKBDRENSR,SMKBDRENSR,SMK BANDAR ENSTEK,2.75079443,101.76707881,
JENTAYU_JENTAYU,JENTAYU,JENTAYU,2.74483995,101.76383840,
JENTAYU_JENTAYUR,JENTAYUR,JENTAYU,2.74483995,101.76383840,
PUSPEK_PUSPEK,PUSPEK,PUSPEK,2.74003350,101.76434189,
PUSPEK_PUSPEKR,PUSPEKR,PUSPEK,2.74003350,101.76434189,
TTJ_TTJ,TTJ,TAMAN THIVY JAYA 1,2.68566000,101.94220000,
TTJ_TTJR,TTJR,TAMAN THIVY JAYA 1,2.68566000,101.94220000,
TTJ_TTV1,TTV1,TAMAN THIVY JAYA 1,2.68994284,101.94223523,
TTJ_TTV1R,TTV1R,TAMAN THIVY JAYA 1,2.68994284,101.94223523,
SMKBM_SMKBM,SMKBM,SMK BUKT MEWAH,2.69427251,101.94498181,
SMKBM_SMKBMR,SMKBMR,SMK BUKT MEWAH,2.69427251,101.94498181,
SMKBM_SMBM,SMBM,SMK BUKT MEWAH,2.69418865,101.94515347,
SMKBM_SMBMR,SMBMR,SMK BUKT MEWAH,2.69418865,101.94515347,
LDGKBOK_LDGKBOK,LDGKBOK,LADANG KOMBOK,2.63135153,101.98432982,
LDGKBOK_LDGKBOKR,LDGKBOKR,LADANG KOMBOK,2.63135153,101.98432981,
RANAGP_RANAGPR,RANAGPR,RANTAU AGRO PARK,2.61885483,101.98626637,
RANAGP_RA,RA,RANTAU AGRO PARK,2.61571831,101.98070948,
RANAGP_RAR,RAR,RANTAU AGRO PARK,2.61571831,101.98070948,
RANAGP_RANAGP,RANAGP,RANTAU AGRO PARK,2.61885483,101.98626637,
RRULLG_RRULGR,RRULGR,RUMAH RAKYAT ULU LALANG,2.61198701,101.97362968,
RRULLG_RRULLG,RRULLG,RUMAH RAKYAT ULU LALANG,2.61680240,101.98332667,
RRULLG_RRULLGR,RRULLGR,RUMAH RAKYAT ULU LALANG,2.61680240,101.98332667,
RRULLG_RRULLGR1,RRULLGR1,RUMAH RAKYAT ULU LALANG,2.61198953,101.97351451,
