stop_id,stop_name,stop_lat,stop_lon,zone
7100,TAMAN SERI PUTRA,6.104108,100.286322,
7101,TERMINAL SHAHAB PERDANA,6.140289,100.354178,
7102,STESEN BAS JITRA,6.259142,100.417417,
7103,STESEN BAS KUALA NERANG,6.257708,100.610325,
7104,PERHENTIAN BAS PENDANG,5.993814,100.476381,
7105,STESEN BAS SG PETANI,5.639839,100.488111,
7106,TANJUNG DAWAI,5.680292,100.364742,
7107,PANTAI MERDEKA,5.665761,100.367531,
7108,KLINIK KESIHATAN SG LALANG,5.715853,100.534889,
7109,TAMAN RIA,5.635781,100.563456,
7110,MYDIN TAMAN BATIK,5.63265,100.538589,
7111,BINTANG MAYA / BANDAR PERDANA,5.612431,100.522106,
7112,SHAHAB PERDANA,6.140289,100.354178,
7113,MASJID AL RAHMAH,6.1426,100.356758,
7114,MEDAN SELERA TAMAN WIRA MERGONG,6.142911,100.360075,
7115,TAMAN WIRA,6.143017,100.362864,
7116,KG LUBUK PERINGGI,6.143336,100.364103,
7117,STOR JKR,6.143683,100.3694,
7118,GIAT MARA,6.143364,100.366106,
7119,HOSPITAL ALOR SETAR,6.142819,100.370392,
7120,KOMPLEKS SUKAN,6.137972,100.370094,
7121,STADIUM DARUL AMAN,6.136389,100.369689,
7122,STADIUM DARUL AMAN 2,6.134444,100.369078,
7123,BAKAR BATA,6.131519,100.368314,
7124,WISMA KANCUT,6.128478,100.367597,
7125,AMAN CENTRAL / MENARA ALOR SETAR,6.124797,100.366942,
7126,DATARAN ALOR SETAR,6.11965,100.365533,
7127,PEKAN RABU,6.117289,100.367619,
7128,SEBERANG PERAK,6.113247,100.364664,
7129,HIJAU KUNING,6.107708,100.364333,
7130,SJK(C) SIN MIN,6.102356,100.364008,
7131,SIMPANG KUALA,6.099522,100.363839,
7132,KLINIK KESIHATAN SIMPANG KUALA 1,6.097883,100.363392,
7133,KLINIK KESIHATAN SIMPANG KUALA 2,6.097472,100.358856,
7134,KLINIK KESIHATAN SIMPANG KUALA 3,6.097703,100.360728,
7135,TAMAN ORKID,6.097169,100.355603,
7136,SMK TUN SHARIFAH RODZIAH,6.096886,100.353089,
7137,KOMPLEKS PENYIARAN RTM,6.096372,100.347917,
7138,MASJID AS SALAM,6.0959,100.343744,
7139,SJK(C) PEI HWA,6.095736,100.342758,
7140,MARDI/KG TELUK CHENGAI,6.095161,100.336569,
7141,SK TELUK KECHAI,6.094939,100.331267,
7142,SMK TENGKU LAKSMANA,6.094903,100.328911,
7143,TAMAN KEMUDI/KG TELOK KECHAI,6.094731,100.320469,
7144,MASJID AL HUDA/PUSAT SUMBER KEMAS,6.094719,100.318058,
7145,TAMAN RESTU,6.094619,100.312125,
7146,BATAS PAIP,6.094494,100.307814,
7147,BATAS PAIP 2,6.095486,100.304911,
7148,TAMAN LAYAR FASA 4 & 3,6.097522,100.302331,
7149,MASJID TUNKU ABDUL RAHMAN PETRA / KLINIK KESIHATAN,6.098761,100.300797,
7150,FAMA,6.103247,100.29535,
7151,MEE ABBAS,6.104958,100.293325,
7152,SK HAJI ISMAIL / MASJID INDIA,6.105658,100.291094,
7153,JETI KUALA KEDAH,6.105456,100.2902,
7154,PEJABAT POS,6.105386,100.289706,
7155,PEKAN KUALA KEDAH,6.104814,100.287606,
7156,SJK(C) PUMPONG,6.145314,100.363289,
7157,KOLEJ POLY TECH MARA,6.147289,100.363197,
7158,KOMPLEKS BADMINTON,6.151658,100.363492,
7159,PEJABAT DAERAH,6.158703,100.363375,
7160,JPJ,6.162947,100.362086,
7161,PANTAI JOHOR,6.168517,100.368283,
7162,ALOR MERAH,6.164708,100.368617,
7163,PETRONAS ALOR MERAH,6.158728,100.369156,
7164,APARTMENT KCS,6.154211,100.369397,
7165,KEDAH MEDICAL CENTRE,6.149108,100.369833,
7166,KELAB ROYAL KEDAH,6.150631,100.369708,
7167,WISMA DARUL AMAN,6.144878,100.370194,
7168,PENJARA,6.144044,100.373678,
7169,SMK SULTANAH BAHIYAH,6.142567,100.38375,
7170,SM DATO SYED OMAR,6.141358,100.386294,
7171,MRTC,6.136528,100.3909,
7172,TAMAN PKNK 2,6.136617,100.386878,
7173,TAMAN PKNK,6.137742,100.384544,
7174,OPP STADIUM DARUL AMAN,6.135511,100.373011,
7175,WISMA PKNK,6.135511,100.373011,
7176,UKIR MALL,6.122114,100.370653,
7177,IPD KOTA SETAR,6.120061,100.370208,
7178,UTC ALOR SETAR,6.118703,100.370419,
7179,KTM ALOR SETAR,6.113619,100.369206,
7180,SK WAN SULAIMAN SIDDIQ,6.126928,100.365622,
7181,KG BERJAYA,6.125519,100.357669,
7182,SEKOLAH TUNKU ABDUL RAHMAN,6.127672,100.351697,
7183,ASRAMA POLYTECH MARA,6.127217,100.348606,
7184,MASJID AL HASANAH,6.123219,100.349781,
7185,TAMAN RAKYAT MERGONG,6.123636,100.347,
7186,KG MEMPELAM,6.127156,100.344908,
7187,LOTUS MERGONG,6.127731,100.341772,
7188,PLAZA PERABOT CLASSY GLORY,6.133439,100.342214,
7189,TAMAN SELAYANG,6.136942,100.343864,
7190,SEKOLAH MENENGAH KEBANGSAAN AGAMA KEDAH,6.140375,100.346361,
7191,BSN PEKAN RABU,6.118964,100.368544,
7192,OPP IPD KOTA SETAR,6.120761,100.369717,
7193,TAMAN SELADANG,6.120761,100.369717,
7194,PEJABAT PENGHULU TITI GAJAH / TAMAN BERLIAN / TAMAN KANCIL,6.174631,100.369244,
7195,MASJID TENGKU INTAN SYAFINAZ,6.178044,100.371808,
7196,KG ALOR SENJAYA,6.188994,100.379486,
7197,SK TITI GAJAH,6.188994,100.379486,
7198,TAMAN DESA MUTIARA,6.196925,100.386694,
7199,LAPANGAN TERBANG SULTAN ABDUL HALIM,6.194492,100.391528,
7200,TITI GAJAH,6.202256,100.394539,
7201,SMA TITI BESI,6.203211,100.4003,
7202,BIRO TATA NEGARA,6.20265,100.403717,
7203,TUDM KEPALA BATAS,6.201558,100.410606,
7204,PEKAN KEPALA BATAS,6.204872,100.413375,
7205,TAMAN JALAI JAYA,6.210131,100.414828,
7206,KEM TOK JALAI,6.214911,100.416064,
7207,SMK TUNKU ANUM,6.219617,100.417311,
7208,KEM SULTAN ABDUL HALIM,6.224903,100.418681,
7209,SM SULTAN ABDUL HALIM,6.229056,100.419564,
7210,TNB TANJUNG SEPAH,6.234322,100.419675,
7211,POLIMAS,6.250022,100.430519,
7212,SMK JITRA,6.260561,100.419967,
7213,SK JITRA,6.261928,100.419978,
7214,PEKAN JITRA,6.263481,100.419983,
7215,MASJID JITRA,6.266553,100.417625,
7216,TAMAN DESA SINARAN,6.270997,100.409658,
7217,BERNAS,6.273603,100.40865,
7218,SMK SERI MAHAWANGSA,6.272711,100.420139,
7219,PEJABAT HUTAN DAERAH,6.270536,100.420058,
7220,BATU 1,6.117228,100.373303,
7221,SMK SULTANAH ASMA / MASJID DERGA,6.120003,100.380528,
7222,SEKOLAH RENDAH AN NAJAAH,6.122781,100.38255,
7223,SJK(C) KEE CHEE,6.126953,100.385531,
7224,MASJID AL BUKHARY,6.13283,100.389475,
7225,SK SULTANAH ASMA,6.134097,100.389969,
7226,TAMAN JAYA,6.136458,100.390892,
7227,TAMAN BAYU BARU,6.139897,100.392356,
7228,TAMAN PUSPA KENCANA,6.144631,100.39485,
7229,TAMAN PULAI JAYA,6.149228,100.399758,
7230,TAMAN SERI ASTANA,6.150767,100.404081,
7231,HOSPITAL SULTANAH BAHIYAH,6.150844,100.407547,
7232,SHELL JALAN LANGGAR,6.150783,100.409758,
7233,MASJID AL BADAR / TAMAN AWANA,6.150206,100.413261,
7234,TAMAN AMIRA,6.149586,100.415603,
7235,MASJID NURUL IHSAN / TAMAN SERI KOTA,6.148392,100.420983,
7236,KLINIK KESIHATAN LANGGAR,6.147333,100.425378,
7237,MAKAM DIRAJA LANGGAR,6.146606,100.428419,
7238,PEKAN LANGGAR,6.145878,100.431564,
7239,SJK(C) TAI CHONG,6.145692,100.432767,
7240,ESTET PADI PADANG LANGGAR,6.146861,100.441142,
7241,KG TANJUNG MUSANG,6.149128,100.451919,
7242,SENTAP / KILANG SCS,6.153581,100.464192,
7243,SIMPANG KEBUN 500 / TAMAN INDAH,6.156233,100.470181,
7244,SK JABI,6.159114,100.476131,
7245,BHP BATU 9,6.161189,100.481822,
7246,KILANG PAPAN BEST PRODUCT,6.162869,100.48735,
7247,BATU 11 / PASARAYA K CERIA POKOK SENA,6.166231,100.499206,
7248,JABATAN PENDAFTARAN NEGARA,6.167047,100.509331,
7249,SK POKOK SENA,6.167614,100.513375,
7250,KAMPUNG AMAN / PEKAN POKOK SENA,6.168161,100.516808,
7251,BALAI POLIS POKOK SENA,6.168606,100.518925,
7252,MASJID AR-RAUDAH,6.172208,100.524525,
7253,SENA SPORT / KILANG BESI,6.175975,100.528619,
7254,SM SAINS POKOK SENA,6.1796,100.532439,
7255,KOMPLEKS ISLAM DARUL ULUM,6.189792,100.542592,
7256,BUKIT LEREK,6.192078,100.545056,
7257,KG BUKIT LEREK 2,6.193894,100.547064,
7258,SIMPANG KUBU / BATU 16,6.203508,100.557586,
7259,PEJABAT FELCRA BUKIT TAMPOI,6.217494,100.569122,
7260,MAHAD TAHFIZ ABU BAKAR,6.218933,100.573817,
7261,SK BUKIT TAMPOI,6.220839,100.577081,
7262,RUMAH ORANG TUA-TUA BUKIT BETHEL,6.228083,100.583633,
7263,KG NAKO NAMBUA 1,6.234314,100.588914,
7264,KG NAKO NAMBUA 2,6.235569,100.591811,
7265,MASJID TENGKU SHARAFUDDIN BADLISHAH,6.237369,100.593975,
7266,KOLEJ MARA KUALA NERANG,6.241114,100.597336,
7267,TAMAN BELIMBING,6.245106,100.600072,
7268,SMK KUALA NERANG,6.243569,100.598369,
7269,KEMAS,6.248572,100.603169,
7270,SMK DATO SHEIKH AHMAD,6.251228,100.60585,
7271,PEJABAT PEKHIDMATAN VETERINAR DAERAH PADANG TERAP,6.253233,100.607797,
7272,PEKAN KUALA NERANG,6.255489,100.610064,
7273,CENTRAL SQUARE,5.636842,100.488086,
7274,BAKAR ARANG,5.632669,100.48285,
7275,MASJID ABU BAKAR AS SIDDIQ,5.628967,100.480625,
7276,SMK CHE TOM,5.624444,100.478747,
7277,LOTUS BAKAR ARANG,5.621828,100.476517,
7278,KAWASAN PERINDUSTRIAN BAKAR ARANG,5.615578,100.480869,
7279,SANSHIN,5.615556,100.490256,
