leg_group_id,from_area_id,to_area_id,fare_product_id
BA,area_80004251,area_80011298,J100CWLMYJB_4251_11298_Adult_Cash
BA,area_80004251,area_80011298,J100CWLMYJB_4251_11298_Adult_Card
BA,area_80004251,area_80011298,J100CWLMYJB_4251_11298_Child_Cash
BA,area_80004251,area_80011298,J100CWLMYJB_4251_11298_Child_Card
BA,area_80004251,area_80011298,J100CWLMYJB_4251_11298_Senior_Cash
BA,area_80004251,area_80011298,J100CWLMYJB_4251_11298_Senior_Card
BA,area_80004251,area_80011568,J100CWLMYJB_4251_11568_Adult_Cash
BA,area_80004251,area_80011568,J100CWLMYJB_4251_11568_Adult_Card
BA,area_80004251,area_80011568,J100CWLMYJB_4251_11568_Child_Cash
BA,area_80004251,area_80011568,J100CWLMYJB_4251_11568_Child_Card
BA,area_80004251,area_80011568,J100CWLMYJB_4251_11568_Senior_Cash
BA,area_80004251,area_80011568,J100CWLMYJB_4251_11568_Senior_Card
BA,area_80004251,area_80013277,J100CWLMYJB_4251_13277_Adult_Cash
BA,area_80004251,area_80013277,J100CWLMYJB_4251_13277_Adult_Card
BA,area_80004251,area_80013277,J100CWLMYJB_4251_13277_Child_Cash
BA,area_80004251,area_80013277,J100CWLMYJB_4251_13277_Child_Card
BA,area_80004251,area_80013277,J100CWLMYJB_4251_13277_Senior_Cash
BA,area_80004251,area_80013277,J100CWLMYJB_4251_13277_Senior_Card
BA,area_80004251,area_80013278,J100CWLMYJB_4251_13278_Adult_Cash
BA,area_80004251,area_80013278,J100CWLMYJB_4251_13278_Adult_Card
BA,area_80004251,area_80013278,J100CWLMYJB_4251_13278_Child_Cash
BA,area_80004251,area_80013278,J100CWLMYJB_4251_13278_Child_Card
BA,area_80004251,area_80013278,J100CWLMYJB_4251_13278_Senior_Cash
BA,area_80004251,area_80013278,J100CWLMYJB_4251_13278_Senior_Card
BA,area_80004251,area_80013279,J100CWLMYJB_4251_13279_Adult_Cash
BA,area_80004251,area_80013279,J100CWLMYJB_4251_13279_Adult_Card
BA,area_80004251,area_80013279,J100CWLMYJB_4251_13279_Child_Cash
BA,area_80004251,area_80013279,J100CWLMYJB_4251_13279_Child_Card
BA,area_80004251,area_80013279,J100CWLMYJB_4251_13279_Senior_Cash
BA,area_80004251,area_80013279,J100CWLMYJB_4251_13279_Senior_Card
BA,area_80004251,area_80013280,J100CWLMYJB_4251_13280_Adult_Cash
BA,area_80004251,area_80013280,J100CWLMYJB_4251_13280_Adult_Card
BA,area_80004251,area_80013280,J100CWLMYJB_4251_13280_Child_Cash
BA,area_80004251,area_80013280,J100CWLMYJB_4251_13280_Child_Card
BA,area_80004251,area_80013280,J100CWLMYJB_4251_13280_Senior_Cash
BA,area_80004251,area_80013280,J100CWLMYJB_4251_13280_Senior_Card
BA,area_80004251,area_80013281,J100CWLMYJB_4251_13281_Adult_Cash
BA,area_80004251,area_80013281,J100CWLMYJB_4251_13281_Adult_Card
BA,area_80004251,area_80013281,J100CWLMYJB_4251_13281_Child_Cash
BA,area_80004251,area_80013281,J100CWLMYJB_4251_13281_Child_Card
BA,area_80004251,area_80013281,J100CWLMYJB_4251_13281_Senior_Cash
BA,area_80004251,area_80013281,J100CWLMYJB_4251_13281_Senior_Card
BA,area_80004251,area_80003046,J100CWLMYJB_4251_3046_Adult_Cash
BA,area_80004251,area_80003046,J100CWLMYJB_4251_3046_Adult_Card
BA,area_80004251,area_80003046,J100CWLMYJB_4251_3046_Child_Cash
BA,area_80004251,area_80003046,J100CWLMYJB_4251_3046_Child_Card
BA,area_80004251,area_80003046,J100CWLMYJB_4251_3046_Senior_Cash
BA,area_80004251,area_80003046,J100CWLMYJB_4251_3046_Senior_Card
BA,area_80004251,area_80003243,J100CWLMYJB_4251_3243_Adult_Cash
BA,area_80004251,area_80003243,J100CWLMYJB_4251_3243_Adult_Card
BA,area_80004251,area_80003243,J100CWLMYJB_4251_3243_Child_Cash
BA,area_80004251,area_80003243,J100CWLMYJB_4251_3243_Child_Card
BA,area_80004251,area_80003243,J100CWLMYJB_4251_3243_Senior_Cash
BA,area_80004251,area_80003243,J100CWLMYJB_4251_3243_Senior_Card
BA,area_80004251,area_80004281,J100CWLMYJB_4251_4281_Adult_Cash
BA,area_80004251,area_80004281,J100CWLMYJB_4251_4281_Adult_Card
BA,area_80004251,area_80004281,J100CWLMYJB_4251_4281_Child_Cash
BA,area_80004251,area_80004281,J100CWLMYJB_4251_4281_Child_Card
BA,area_80004251,area_80004281,J100CWLMYJB_4251_4281_Senior_Cash
BA,area_80004251,area_80004281,J100CWLMYJB_4251_4281_Senior_Card
BA,area_80004251,area_80004286,J100CWLMYJB_4251_4286_Adult_Cash
BA,area_80004251,area_80004286,J100CWLMYJB_4251_4286_Adult_Card
BA,area_80004251,area_80004286,J100CWLMYJB_4251_4286_Child_Cash
BA,area_80004251,area_80004286,J100CWLMYJB_4251_4286_Child_Card
BA,area_80004251,area_80004286,J100CWLMYJB_4251_4286_Senior_Cash
BA,area_80004251,area_80004286,J100CWLMYJB_4251_4286_Senior_Card
BA,area_80004251,area_80013276,J100CWLMYJB_4251_13276_Adult_Cash
BA,area_80004251,area_80013276,J100CWLMYJB_4251_13276_Adult_Card
BA,area_80004251,area_80013276,J100CWLMYJB_4251_13276_Child_Cash
BA,area_80004251,area_80013276,J100CWLMYJB_4251_13276_Child_Card
BA,area_80004251,area_80013276,J100CWLMYJB_4251_13276_Senior_Cash
BA,area_80004251,area_80013276,J100CWLMYJB_4251_13276_Senior_Card
BA,area_80004251,area_80004289,J100CWLMYJB_4251_4289_Adult_Cash
BA,area_80004251,area_80004289,J100CWLMYJB_4251_4289_Adult_Card
BA,area_80004251,area_80004289,J100CWLMYJB_4251_4289_Child_Cash
BA,area_80004251,area_80004289,J100CWLMYJB_4251_4289_Child_Card
BA,area_80004251,area_80004289,J100CWLMYJB_4251_4289_Senior_Cash
BA,area_80004251,area_80004289,J100CWLMYJB_4251_4289_Senior_Card
BA,area_80004251,area_80012159,J100CWLMYJB_4251_12159_Adult_Cash
BA,area_80004251,area_80012159,J100CWLMYJB_4251_12159_Adult_Card
BA,area_80004251,area_80012159,J100CWLMYJB_4251_12159_Child_Cash
BA,area_80004251,area_80012159,J100CWLMYJB_4251_12159_Child_Card
BA,area_80004251,area_80012159,J100CWLMYJB_4251_12159_Senior_Cash
BA,area_80004251,area_80012159,J100CWLMYJB_4251_12159_Senior_Card
BA,area_80004251,area_80012158,J100CWLMYJB_4251_12158_Adult_Cash
BA,area_80004251,area_80012158,J100CWLMYJB_4251_12158_Adult_Card
BA,area_80004251,area_80012158,J100CWLMYJB_4251_12158_Child_Cash
BA,area_80004251,area_80012158,J100CWLMYJB_4251_12158_Child_Card
BA,area_80004251,area_80012158,J100CWLMYJB_4251_12158_Senior_Cash
BA,area_80004251,area_80012158,J100CWLMYJB_4251_12158_Senior_Card
BA,area_80004251,area_80012157,J100CWLMYJB_4251_12157_Adult_Cash
BA,area_80004251,area_80012157,J100CWLMYJB_4251_12157_Adult_Card
BA,area_80004251,area_80012157,J100CWLMYJB_4251_12157_Child_Cash
BA,area_80004251,area_80012157,J100CWLMYJB_4251_12157_Child_Card
BA,area_80004251,area_80012157,J100CWLMYJB_4251_12157_Senior_Cash
BA,area_80004251,area_80012157,J100CWLMYJB_4251_12157_Senior_Card
BA,area_80004251,area_80012156,J100CWLMYJB_4251_12156_Adult_Cash
BA,area_80004251,area_80012156,J100CWLMYJB_4251_12156_Adult_Card
BA,area_80004251,area_80012156,J100CWLMYJB_4251_12156_Child_Cash
BA,area_80004251,area_80012156,J100CWLMYJB_4251_12156_Child_Card
BA,area_80004251,area_80012156,J100CWLMYJB_4251_12156_Senior_Cash
BA,area_80004251,area_80012156,J100CWLMYJB_4251_12156_Senior_Card
BA,area_80004251,area_80008097,J100CWLMYJB_4251_8097_Adult_Cash
BA,area_80004251,area_80008097,J100CWLMYJB_4251_8097_Adult_Card
BA,area_80004251,area_80008097,J100CWLMYJB_4251_8097_Child_Cash
BA,area_80004251,area_80008097,J100CWLMYJB_4251_8097_Child_Card
BA,area_80004251,area_80008097,J100CWLMYJB_4251_8097_Senior_Cash
BA,area_80004251,area_80008097,J100CWLMYJB_4251_8097_Senior_Card
BA,area_80004251,area_80004252,J100CWLMYJB_4251_4252_Adult_Cash
BA,area_80004251,area_80004252,J100CWLMYJB_4251_4252_Adult_Card
BA,area_80004251,area_80004252,J100CWLMYJB_4251_4252_Child_Cash
BA,area_80004251,area_80004252,J100CWLMYJB_4251_4252_Child_Card
BA,area_80004251,area_80004252,J100CWLMYJB_4251_4252_Senior_Cash
BA,area_80004251,area_80004252,J100CWLMYJB_4251_4252_Senior_Card
BA,area_80004251,area_80013290,J100CWLMYJB_4251_13290_Adult_Cash
BA,area_80004251,area_80013290,J100CWLMYJB_4251_13290_Adult_Card
BA,area_80004251,area_80013290,J100CWLMYJB_4251_13290_Child_Cash
BA,area_80004251,area_80013290,J100CWLMYJB_4251_13290_Child_Card
BA,area_80004251,area_80013290,J100CWLMYJB_4251_13290_Senior_Cash
BA,area_80004251,area_80013290,J100CWLMYJB_4251_13290_Senior_Card
BA,area_80004251,area_80011351,J100CWLMYJB_4251_11351_Adult_Cash
BA,area_80004251,area_80011351,J100CWLMYJB_4251_11351_Adult_Card
BA,area_80004251,area_80011351,J100CWLMYJB_4251_11351_Child_Cash
BA,area_80004251,area_80011351,J100CWLMYJB_4251_11351_Child_Card
BA,area_80004251,area_80011351,J100CWLMYJB_4251_11351_Senior_Cash
BA,area_80004251,area_80011351,J100CWLMYJB_4251_11351_Senior_Card
BA,area_80011298,area_80011568,J100CWLMYJB_11298_11568_Adult_Cash
BA,area_80011298,area_80011568,J100CWLMYJB_11298_11568_Adult_Card
BA,area_80011298,area_80011568,J100CWLMYJB_11298_11568_Child_Cash
BA,area_80011298,area_80011568,J100CWLMYJB_11298_11568_Child_Card
BA,area_80011298,area_80011568,J100CWLMYJB_11298_11568_Senior_Cash
BA,area_80011298,area_80011568,J100CWLMYJB_11298_11568_Senior_Card
BA,area_80011298,area_80013277,J100CWLMYJB_11298_13277_Adult_Cash
BA,area_80011298,area_80013277,J100CWLMYJB_11298_13277_Adult_Card
BA,area_80011298,area_80013277,J100CWLMYJB_11298_13277_Child_Cash
BA,area_80011298,area_80013277,J100CWLMYJB_11298_13277_Child_Card
BA,area_80011298,area_80013277,J100CWLMYJB_11298_13277_Senior_Cash
BA,area_80011298,area_80013277,J100CWLMYJB_11298_13277_Senior_Card
BA,area_80011298,area_80013278,J100CWLMYJB_11298_13278_Adult_Cash
BA,area_80011298,area_80013278,J100CWLMYJB_11298_13278_Adult_Card
BA,area_80011298,area_80013278,J100CWLMYJB_11298_13278_Child_Cash
BA,area_80011298,area_80013278,J100CWLMYJB_11298_13278_Child_Card
BA,area_80011298,area_80013278,J100CWLMYJB_11298_13278_Senior_Cash
BA,area_80011298,area_80013278,J100CWLMYJB_11298_13278_Senior_Card
BA,area_80011298,area_80013279,J100CWLMYJB_11298_13279_Adult_Cash
BA,area_80011298,area_80013279,J100CWLMYJB_11298_13279_Adult_Card
BA,area_80011298,area_80013279,J100CWLMYJB_11298_13279_Child_Cash
BA,area_80011298,area_80013279,J100CWLMYJB_11298_13279_Child_Card
BA,area_80011298,area_80013279,J100CWLMYJB_11298_13279_Senior_Cash
BA,area_80011298,area_80013279,J100CWLMYJB_11298_13279_Senior_Card
BA,area_80011298,area_80013280,J100CWLMYJB_11298_13280_Adult_Cash
BA,area_80011298,area_80013280,J100CWLMYJB_11298_13280_Adult_Card
