shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence


SHP_30425_1,6.147989,102.301042,1

SHP_30425_1,6.143489,102.299228,2

SHP_30425_1,6.145511,102.294486,3

SHP_30425_1,6.147264,102.293031,4

SHP_30425_1,6.148681,102.291719,5

SHP_30425_1,6.152153,102.288219,6

SHP_30425_1,6.156242,102.288819,7

SHP_30425_1,6.156322,102.2945,8

SHP_30425_1,6.155353,102.297658,9

SHP_30425_1,6.158461,102.299594,10

SHP_30425_1,6.158933,102.311031,11

SHP_30425_1,6.159581,102.306172,12

SHP_30425_1,6.160203,102.301056,13

SHP_30425_1,6.161856,102.292967,14

SHP_30425_1,6.161992,102.282686,15

SHP_30425_1,6.162392,102.277856,16

SHP_30425_1,6.160272,102.276358,17

SHP_30425_1,6.157892,102.275156,18

SHP_30425_1,6.156061,102.273228,19

SHP_30425_1,6.154892,102.271219,20

SHP_30425_1,6.152633,102.269864,21

SHP_30425_1,6.150606,102.269283,22

SHP_30425_1,6.147342,102.267853,23

SHP_30425_1,6.145853,102.267508,24

SHP_30425_1,6.144125,102.266767,25

SHP_30425_1,6.138342,102.26495,26

SHP_30425_1,6.136278,102.264014,27

SHP_30425_1,6.132419,102.257406,28

SHP_30425_1,6.130411,102.251047,29

SHP_30425_1,6.126106,102.242122,30

SHP_30425_1,6.125139,102.240944,31

SHP_30425_1,6.125153,102.238242,32

SHP_30425_1,6.127519,102.245078,33

SHP_30425_1,6.128142,102.239464,34

SHP_30426_1,6.174097,102.323169,1

SHP_30426_1,6.173453,102.320967,2

SHP_30426_1,6.171353,102.321006,3

SHP_30426_1,6.164903,102.322742,4

SHP_30426_1,6.161928,102.322881,5

SHP_30426_1,6.153469,102.317831,6

SHP_30426_1,6.14665,102.313925,7

SHP_30426_1,6.143853,102.311353,8

SHP_30426_1,6.139456,102.307397,9

SHP_30426_1,6.130486,102.302133,10

SHP_30426_1,6.130689,102.299925,11

SHP_30426_1,6.131517,102.298594,12

SHP_30426_1,6.133519,102.294861,13

SHP_30426_1,6.136817,102.288617,14

SHP_30426_1,6.137139,102.279578,15

SHP_30426_1,6.136803,102.274831,16

SHP_30426_1,6.136958,102.271717,17

SHP_30426_1,6.137331,102.269378,18

SHP_30426_1,6.136903,102.264686,19

SHP_30426_1,6.136278,102.264014,20

SHP_30426_1,6.132419,102.257406,21

SHP_30426_1,6.132661,102.254011,22

SHP_30426_1,6.134978,102.249653,23

SHP_30426_1,6.134094,102.244278,24

SHP_30426_1,6.126106,102.242122,25

SHP_30426_1,6.125139,102.240944,26

SHP_30426_1,6.130628,102.24315,27

SHP_30426_1,6.125153,102.238242,28

SHP_30426_1,6.129497,102.242908,29

SHP_30426_1,6.128142,102.239464,30

SHP_30427_1,6.174097,102.323169,1

SHP_30427_1,6.173453,102.320967,2

SHP_30427_1,6.172978,102.319781,3

SHP_30427_1,6.171447,102.315539,4

SHP_30427_1,6.168211,102.309108,5

SHP_30427_1,6.168694,102.304425,6

SHP_30427_1,6.169297,102.301525,7

