shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence


SHP_30395_1,1.547947,110.240389,1

SHP_30395_1,1.55405,110.244936,2

SHP_30395_1,1.554058,110.244703,3

SHP_30395_1,1.555022,110.249097,4

SHP_30395_1,1.554622,110.255461,5

SHP_30395_1,1.567528,110.257972,6

SHP_30395_1,1.573403,110.269025,7

SHP_30395_1,1.572881,110.271072,8

SHP_30395_1,1.574228,110.282086,9

SHP_30395_1,1.573269,110.298839,10

SHP_30395_1,1.573072,110.301647,11

SHP_30395_1,1.567378,110.310244,12

SHP_30395_1,1.564503,110.313442,13

SHP_30395_1,1.563486,110.315975,14

SHP_30395_1,1.564244,110.321806,15

SHP_30395_1,1.556761,110.323217,16

SHP_30395_1,1.554325,110.332047,17

SHP_30395_1,1.554181,110.335272,18

SHP_30395_1,1.557719,110.342517,19

SHP_30399_1,1.164571,110.567035,1

SHP_30399_1,1.171228,110.566308,2

SHP_30399_1,1.172719,110.5664,3

SHP_30399_1,1.176736,110.564556,4

SHP_30399_1,1.179944,110.564278,5

SHP_30399_1,1.188444,110.561722,6

SHP_30399_1,1.191389,110.557,7

SHP_30399_1,1.197417,110.546722,8

SHP_30399_1,1.201972,110.539972,9

SHP_30399_1,1.206083,110.53375,10

SHP_30399_1,1.208944,110.529444,11

SHP_30399_1,1.223167,110.511222,12

SHP_30399_1,1.249325,110.484439,13

SHP_30399_1,1.256556,110.474778,14

SHP_30399_1,1.267944,110.462889,15

SHP_30399_1,1.2715,110.458306,16

SHP_30399_1,1.274917,110.454706,17

SHP_30399_1,1.276733,110.452044,18

SHP_30399_1,1.279442,110.436767,19

SHP_30399_1,1.280072,110.428811,20

SHP_30399_1,1.294675,110.412492,21

SHP_30399_1,1.312567,110.407064,22

SHP_30399_1,1.3454,110.408375,23

SHP_30399_1,1.353803,110.408631,24

SHP_30399_1,1.360919,110.405578,25

SHP_30399_1,1.369183,110.398403,26

SHP_30399_1,1.372306,110.392406,27

SHP_30399_1,1.374833,110.384417,28

SHP_30399_1,1.464306,110.418444,29

SHP_30399_1,1.480261,110.420175,30

SHP_30399_1,1.514667,110.386056,31

SHP_30399_1,1.518019,110.383664,32

SHP_30399_1,1.524528,110.377972,33

SHP_30399_1,1.525778,110.375972,34

SHP_30399_1,1.526814,110.3723,35

SHP_30399_1,1.528294,110.365264,36

SHP_30399_1,1.52875,110.363172,37

SHP_30399_1,1.535861,110.356472,38

SHP_30399_1,1.540583,110.354444,39

SHP_30399_1,1.538919,110.351422,40

SHP_30399_1,1.535222,110.348667,41

SHP_30399_1,1.5342,110.346019,42

SHP_30399_1,1.535394,110.342064,43

SHP_30399_1,1.5395,110.341472,44

SHP_30399_1,1.542892,110.341134,45

SHP_30399_1,1.550003,110.341269,46

SHP_30399_1,1.552194,110.341953,47

SHP_30399_1,1.558621,110.341297,48

SHP_30401_1,1.635117,110.195592,1

SHP_30401_1,1.629342,110.195694,2

SHP_30401_1,1.614575,110.200719,3

SHP_30401_1,1.611833,110.209106,4

