trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint
207_0_WE_1,06:30:00,06:30:10,6521,1,0
207_0_WE_1,06:31:00,06:31:10,6539,2,0
207_0_WE_1,06:32:00,06:32:10,6524,3,0
207_0_WE_1,06:33:00,06:33:10,6525,4,0
207_0_WE_1,06:34:00,06:34:10,6526,5,0
207_0_WE_1,06:35:00,06:35:10,6527,6,0
207_0_WE_1,06:36:00,06:36:10,6638,7,0
207_0_WE_1,06:37:00,06:37:10,6537,8,0
207_0_WE_1,06:38:00,06:38:10,6639,9,0
207_0_WE_1,06:39:00,06:39:10,6530,10,0
207_0_WE_1,06:41:00,06:41:10,6523,11,0
207_0_WE_1,06:42:00,06:42:10,6520,12,0
207_0_WE_1,06:50:00,06:50:10,6519,13,0
207_0_WE_1,06:51:00,06:51:10,6518,14,0
207_0_WE_2,07:30:00,07:30:10,6521,1,0
207_0_WE_2,07:31:00,07:31:10,6539,2,0
207_0_WE_2,07:32:00,07:32:10,6524,3,0
207_0_WE_2,07:33:00,07:33:10,6525,4,0
207_0_WE_2,07:34:00,07:34:10,6526,5,0
207_0_WE_2,07:35:00,07:35:10,6527,6,0
207_0_WE_2,07:36:00,07:36:10,6638,7,0
207_0_WE_2,07:37:00,07:37:10,6537,8,0
207_0_WE_2,07:38:00,07:38:10,6639,9,0
207_0_WE_2,07:39:00,07:39:10,6530,10,0
207_0_WE_2,07:41:00,07:41:10,6523,11,0
207_0_WE_2,07:42:00,07:42:10,6520,12,0
207_0_WE_2,07:50:00,07:50:10,6519,13,0
207_0_WE_2,07:51:00,07:51:10,6518,14,0
207_0_WE_3,08:30:00,08:30:10,6521,1,0
207_0_WE_3,08:31:00,08:31:10,6539,2,0
207_0_WE_3,08:32:00,08:32:10,6524,3,0
207_0_WE_3,08:33:00,08:33:10,6525,4,0
207_0_WE_3,08:34:00,08:34:10,6526,5,0
207_0_WE_3,08:35:00,08:35:10,6527,6,0
207_0_WE_3,08:36:00,08:36:10,6638,7,0
207_0_WE_3,08:37:00,08:37:10,6537,8,0
207_0_WE_3,08:38:00,08:38:10,6639,9,0
207_0_WE_3,08:39:00,08:39:10,6530,10,0
207_0_WE_3,08:41:00,08:41:10,6523,11,0
207_0_WE_3,08:42:00,08:42:10,6520,12,0
207_0_WE_3,08:50:00,08:50:10,6519,13,0
207_0_WE_3,08:51:00,08:51:10,6518,14,0
207_0_WE_4,09:30:00,09:30:10,6521,1,0
207_0_WE_4,09:31:00,09:31:10,6539,2,0
207_0_WE_4,09:32:00,09:32:10,6524,3,0
207_0_WE_4,09:33:00,09:33:10,6525,4,0
207_0_WE_4,09:34:00,09:34:10,6526,5,0
207_0_WE_4,09:35:00,09:35:10,6527,6,0
207_0_WE_4,09:36:00,09:36:10,6638,7,0
207_0_WE_4,09:37:00,09:37:10,6537,8,0
207_0_WE_4,09:38:00,09:38:10,6639,9,0
207_0_WE_4,09:39:00,09:39:10,6530,10,0
207_0_WE_4,09:41:00,09:41:10,6523,11,0
207_0_WE_4,09:42:00,09:42:10,6520,12,0
207_0_WE_4,09:50:00,09:50:10,6519,13,0
207_0_WE_4,09:51:00,09:51:10,6518,14,0
207_0_WE_5,10:30:00,10:30:10,6521,1,0
207_0_WE_5,10:31:00,10:31:10,6539,2,0
207_0_WE_5,10:32:00,10:32:10,6524,3,0
207_0_WE_5,10:33:00,10:33:10,6525,4,0
207_0_WE_5,10:34:00,10:34:10,6526,5,0
207_0_WE_5,10:35:00,10:35:10,6527,6,0
207_0_WE_5,10:36:00,10:36:10,6638,7,0
207_0_WE_5,10:37:00,10:37:10,6537,8,0
207_0_WE_5,10:38:00,10:38:10,6639,9,0
207_0_WE_5,10:39:00,10:39:10,6530,10,0
207_0_WE_5,10:41:00,10:41:10,6523,11,0
207_0_WE_5,10:42:00,10:42:10,6520,12,0
207_0_WE_5,10:50:00,10:50:10,6519,13,0
207_0_WE_5,10:51:00,10:51:10,6518,14,0
207_0_WE_6,11:30:00,11:30:10,6521,1,0
207_0_WE_6,11:31:00,11:31:10,6539,2,0
207_0_WE_6,11:32:00,11:32:10,6524,3,0
207_0_WE_6,11:33:00,11:33:10,6525,4,0
207_0_WE_6,11:34:00,11:34:10,6526,5,0
207_0_WE_6,11:35:00,11:35:10,6527,6,0
207_0_WE_6,11:36:00,11:36:10,6638,7,0
207_0_WE_6,11:37:00,11:37:10,6537,8,0
207_0_WE_6,11:38:00,11:38:10,6639,9,0
207_0_WE_6,11:39:00,11:39:10,6530,10,0
207_0_WE_6,11:41:00,11:41:10,6523,11,0
207_0_WE_6,11:42:00,11:42:10,6520,12,0
207_0_WE_6,11:50:00,11:50:10,6519,13,0
207_0_WE_6,11:51:00,11:51:10,6518,14,0
207_0_WE_7,12:30:00,12:30:10,6521,1,0
207_0_WE_7,12:31:00,12:31:10,6539,2,0
207_0_WE_7,12:32:00,12:32:10,6524,3,0
207_0_WE_7,12:33:00,12:33:10,6525,4,0
207_0_WE_7,12:34:00,12:34:10,6526,5,0
207_0_WE_7,12:35:00,12:35:10,6527,6,0
207_0_WE_7,12:36:00,12:36:10,6638,7,0
207_0_WE_7,12:37:00,12:37:10,6537,8,0
207_0_WE_7,12:38:00,12:38:10,6639,9,0
207_0_WE_7,12:39:00,12:39:10,6530,10,0
207_0_WE_7,12:41:00,12:41:10,6523,11,0
207_0_WE_7,12:42:00,12:42:10,6520,12,0
207_0_WE_7,12:50:00,12:50:10,6519,13,0
207_0_WE_7,12:51:00,12:51:10,6518,14,0
207_0_WE_8,13:30:00,13:30:10,6521,1,0
207_0_WE_8,13:31:00,13:31:10,6539,2,0
207_0_WE_8,13:32:00,13:32:10,6524,3,0
207_0_WE_8,13:33:00,13:33:10,6525,4,0
207_0_WE_8,13:34:00,13:34:10,6526,5,0
207_0_WE_8,13:35:00,13:35:10,6527,6,0
207_0_WE_8,13:36:00,13:36:10,6638,7,0
207_0_WE_8,13:37:00,13:37:10,6537,8,0
207_0_WE_8,13:38:00,13:38:10,6639,9,0
207_0_WE_8,13:39:00,13:39:10,6530,10,0
207_0_WE_8,13:41:00,13:41:10,6523,11,0
207_0_WE_8,13:42:00,13:42:10,6520,12,0
207_0_WE_8,13:50:00,13:50:10,6519,13,0
207_0_WE_8,13:51:00,13:51:10,6518,14,0
207_0_WE_9,14:30:00,14:30:10,6521,1,0
207_0_WE_9,14:31:00,14:31:10,6539,2,0
207_0_WE_9,14:32:00,14:32:10,6524,3,0
207_0_WE_9,14:33:00,14:33:10,6525,4,0
207_0_WE_9,14:34:00,14:34:10,6526,5,0
207_0_WE_9,14:35:00,14:35:10,6527,6,0
207_0_WE_9,14:36:00,14:36:10,6638,7,0
207_0_WE_9,14:37:00,14:37:10,6537,8,0
207_0_WE_9,14:38:00,14:38:10,6639,9,0
207_0_WE_9,14:39:00,14:39:10,6530,10,0
207_0_WE_9,14:41:00,14:41:10,6523,11,0
207_0_WE_9,14:42:00,14:42:10,6520,12,0
207_0_WE_9,14:50:00,14:50:10,6519,13,0
207_0_WE_9,14:51:00,14:51:10,6518,14,0
207_0_WE_10,15:30:00,15:30:10,6521,1,0
207_0_WE_10,15:31:00,15:31:10,6539,2,0
207_0_WE_10,15:32:00,15:32:10,6524,3,0
207_0_WE_10,15:33:00,15:33:10,6525,4,0
207_0_WE_10,15:34:00,15:34:10,6526,5,0
207_0_WE_10,15:35:00,15:35:10,6527,6,0
207_0_WE_10,15:36:00,15:36:10,6638,7,0
207_0_WE_10,15:37:00,15:37:10,6537,8,0
207_0_WE_10,15:38:00,15:38:10,6639,9,0
207_0_WE_10,15:39:00,15:39:10,6530,10,0
207_0_WE_10,15:41:00,15:41:10,6523,11,0
207_0_WE_10,15:42:00,15:42:10,6520,12,0
207_0_WE_10,15:50:00,15:50:10,6519,13,0
