shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
R1705018,2.5239413,101.7963392,1
R1705018,2.5224648,101.7962560,2
R1705018,2.5220227,101.7955130,3
R1705018,2.5257310,101.8000049,4
R1705018,2.5260690,101.8020703,5
R1705018,2.5256040,101.8052830,6
R1705018,2.5252055,101.8072784,7
R1705018,2.5255511,101.8116941,8
R1705018,2.5239069,101.8162369,9
R1705018,2.5213981,101.8205721,10
R1705018,2.5194931,101.8220920,11
R1705018,2.5173889,101.8238036,12
R1705018,2.5170540,101.8291153,13
R1705018,2.5118810,101.8274472,14
R1705018,2.5080217,101.8301433,15
R1705018,2.5049258,101.8342759,16
R1705018,2.5037711,101.8356605,17
R1705018,2.5012859,101.8375540,18
R1705018,2.4992190,101.8384597,19
R1705018,2.4955344,101.8399549,20
R1705018,2.4918555,101.8422246,21
R1705018,2.4836390,101.8477339,22
R1705018,2.4817447,101.8496096,23
R1705018,2.4789419,101.8532335,24
R1705018,2.4770537,101.8553764,25
R1705018,2.4723390,101.8589468,26
R1705018,2.4646141,101.8539163,27
R1705018,2.4619993,101.8544263,28
R1705018,2.4602474,101.8554165,29
R1705018,2.4590068,101.8557533,30
R1705018,2.4539157,101.8575234,31
R1705018,2.4524785,101.8576086,32
R1705018,2.4490715,101.8580169,33
R1705018,2.4463600,101.8628123,34
R1705018,2.4481617,101.8692742,35
R1705018,2.4484704,101.8706977,36
R1705018,2.4484795,101.8739805,37
R1705018,2.4424955,101.8685111,38
R1705018,2.4398815,101.8687482,39
R1705018,2.4416240,101.8654016,40
R1705018,2.4421562,101.8644690,41
R1705018,2.4413842,101.8623625,42
R1705018,2.4403195,101.8613856,43
R1705019,2.4403195,101.8613856,1
R1705019,2.4413842,101.8623625,2
R1705019,2.4421562,101.8644690,3
R1705019,2.4416240,101.8654016,4
R1705019,2.4398815,101.8687482,5
R1705019,2.4424955,101.8685111,6
R1705019,2.4484795,101.8739805,7
R1705019,2.4484704,101.8706977,8
R1705019,2.4481617,101.8692742,9
R1705019,2.4463600,101.8628123,10
R1705019,2.4495473,101.8579862,11
R1705019,2.4524785,101.8576086,12
R1705019,2.4539157,101.8575234,13
R1705019,2.4590068,101.8557533,14
R1705019,2.4602474,101.8554165,15
R1705019,2.4619993,101.8544263,16
R1705019,2.4646141,101.8539163,17
R1705019,2.4723390,101.8589468,18
R1705019,2.4754130,101.8587740,19
R1705019,2.4770537,101.8553764,20
R1705019,2.4789419,101.8532335,21
R1705019,2.4817447,101.8496096,22
R1705019,2.4836390,101.8477339,23
R1705019,2.4918555,101.8422246,24
R1705019,2.4955344,101.8399549,25
R1705019,2.4992190,101.8384597,26
R1705019,2.5012859,101.8375540,27
R1705019,2.5037711,101.8356605,28
R1705019,2.5049258,101.8342759,29
R1705019,2.5080217,101.8301433,30
R1705019,2.5118810,101.8274472,31
R1705019,2.5170540,101.8291153,32
R1705019,2.5173889,101.8238036,33
R1705019,2.5194931,101.8220920,34
R1705019,2.5213981,101.8205721,35
R1705019,2.5239069,101.8162369,36
R1705019,2.5255074,101.8112272,37
R1705019,2.5252055,101.8072784,38
R1705019,2.5256040,101.8052830,39
