route_id,service_id,trip_id,shape_id,direction_id
N32,Bas.my,R1705018_T1,R1705018,0
N32,Bas.my,R1705018_T2,R1705018,0
N32,Bas.my,R1705018_T3,R1705018,0
N32,Bas.my,R1705018_T4,R1705018,0
N32,Bas.my,R1705018_T5,R1705018,0
N32,Bas.my,R1705018_T6,R1705018,0
N32,Bas.my,R1705018_T7,R1705018,0
N32,Bas.my,R1705018_T8,R1705018,0
N32,Bas.my,R1705018_T9,R1705018,0
N32,Bas.my,R1705018_T10,R1705018,0
N32,Bas.my,R1705018_T11,R1705018,0
N32,Bas.my,R1705018_T12,R1705018,0
N32,Bas.my,R1705018_T13,R1705018,0
N32,Bas.my,R1705018_T14,R1705018,0
N32,Bas.my,R1705018_T15,R1705018,0
N32,Bas.my,R1705018_T16,R1705018,0
N32,Bas.my,R1705018_T17,R1705018,0
N32,Bas.my,R1705018_T18,R1705018,0
N32,Bas.my,R1705018_T19,R1705018,0
N32,Bas.my,R1705018_T20,R1705018,0
N32,Bas.my,R1705018_T21,R1705018,0
N32,Bas.my,R1705019_T1,R1705019,1
N32,Bas.my,R1705019_T2,R1705019,1
N32,Bas.my,R1705019_T3,R1705019,1
N32,Bas.my,R1705019_T4,R1705019,1
N32,Bas.my,R1705019_T5,R1705019,1
N32,Bas.my,R1705019_T6,R1705019,1
N32,Bas.my,R1705019_T7,R1705019,1
N32,Bas.my,R1705019_T8,R1705019,1
N32,Bas.my,R1705019_T9,R1705019,1
N32,Bas.my,R1705019_T10,R1705019,1
N32,Bas.my,R1705019_T11,R1705019,1
N32,Bas.my,R1705019_T12,R1705019,1
N32,Bas.my,R1705019_T13,R1705019,1
N32,Bas.my,R1705019_T14,R1705019,1
N32,Bas.my,R1705019_T15,R1705019,1
N32,Bas.my,R1705019_T16,R1705019,1
N32,Bas.my,R1705019_T17,R1705019,1
N32,Bas.my,R1705019_T18,R1705019,1
N32,Bas.my,R1705019_T19,R1705019,1
N32,Bas.my,R1705019_T20,R1705019,1
N32,Bas.my,R1705019_T21,R1705019,1
N30A,Bas.my,R1705026_T1,R1705026,0
N30A,Bas.my,R1705026_T2,R1705026,0
N30A,Bas.my,R1705026_T3,R1705026,0
N30A,Bas.my,R1705026_T4,R1705026,0
N30A,Bas.my,R1705026_T5,R1705026,0
N30A,Bas.my,R1705026_T6,R1705026,0
N30A,Bas.my,R1705026_T7,R1705026,0
N30A,Bas.my,R1705026_T8,R1705026,0
N30A,Bas.my,R1705026_T9,R1705026,0
N30A,Bas.my,R1705026_T10,R1705026,0
N30A,Bas.my,R1705026_T11,R1705026,0
N30A,Bas.my,R1705026_T12,R1705026,0
N30A,Bas.my,R1705026_T13,R1705026,0
N30A,Bas.my,R1705026_T14,R1705026,0
N30A,Bas.my,R1705026_T15,R1705026,0
N30A,Bas.my,R1705026_T16,R1705026,0
N30A,Bas.my,R1705026_T17,R1705026,0
N30A,Bas.my,R1705027_T1,R1705027,1
N30A,Bas.my,R1705027_T2,R1705027,1
N30A,Bas.my,R1705027_T3,R1705027,1
N30A,Bas.my,R1705027_T4,R1705027,1
N30A,Bas.my,R1705027_T5,R1705027,1
N30A,Bas.my,R1705027_T6,R1705027,1
N30A,Bas.my,R1705027_T7,R1705027,1
N30A,Bas.my,R1705027_T8,R1705027,1
N30A,Bas.my,R1705027_T9,R1705027,1
N30A,Bas.my,R1705027_T10,R1705027,1
N30A,Bas.my,R1705027_T11,R1705027,1
N30A,Bas.my,R1705027_T12,R1705027,1
N30A,Bas.my,R1705027_T13,R1705027,1
N30A,Bas.my,R1705027_T14,R1705027,1
N30A,Bas.my,R1705027_T15,R1705027,1
N30A,Bas.my,R1705027_T16,R1705027,1
N30A,Bas.my,R1705027_T17,R1705027,1
N30B,Bas.my,R1705028_T1,R1705028,0
N30B,Bas.my,R1705028_T2,R1705028,0
N30B,Bas.my,R1705028_T3,R1705028,0
N30B,Bas.my,R1705028_T4,R1705028,0
N30B,Bas.my,R1705028_T5,R1705028,0
N30B,Bas.my,R1705028_T6,R1705028,0
N30B,Bas.my,R1705028_T7,R1705028,0
N30B,Bas.my,R1705028_T8,R1705028,0
N30B,Bas.my,R1705028_T9,R1705028,0
N30B,Bas.my,R1705028_T10,R1705028,0
N30B,Bas.my,R1705028_T11,R1705028,0
N30B,Bas.my,R1705028_T12,R1705028,0
N30B,Bas.my,R1705028_T13,R1705028,0
N30B,Bas.my,R1705028_T14,R1705028,0
N30B,Bas.my,R1705028_T15,R1705028,0
N30B,Bas.my,R1705028_T16,R1705028,0
N53,Bas.my,R1705030_T1,R1705030,0
N53,Bas.my,R1705030_T2,R1705030,0
N53,Bas.my,R1705030_T3,R1705030,0
N53,Bas.my,R1705030_T4,R1705030,0
N53,Bas.my,R1705030_T5,R1705030,0
N53,Bas.my,R1705030_T6,R1705030,0
N53,Bas.my,R1705030_T7,R1705030,0
N53,Bas.my,R1705030_T8,R1705030,0
N53,Bas.my,R1705030_T9,R1705030,0
N53,Bas.my,R1705030_T10,R1705030,0
N53,Bas.my,R1705030_T11,R1705030,0
N53,Bas.my,R1705030_T12,R1705030,0
N53,Bas.my,R1705030_T13,R1705030,0
N53,Bas.my,R1705030_T14,R1705030,0
N53,Bas.my,R1705030_T15,R1705030,0
N53,Bas.my,R1705030_T16,R1705030,0
N53,Bas.my,R1705030_T17,R1705030,0
N53,Bas.my,R1705030_T18,R1705030,0
N53,Bas.my,R1705030_T19,R1705030,0
N53,Bas.my,R1705030_T20,R1705030,0
N53,Bas.my,R1705031_T1,R1705031,1
N53,Bas.my,R1705031_T2,R1705031,1
N53,Bas.my,R1705031_T3,R1705031,1
N53,Bas.my,R1705031_T4,R1705031,1
N53,Bas.my,R1705031_T5,R1705031,1
N53,Bas.my,R1705031_T6,R1705031,1
N53,Bas.my,R1705031_T7,R1705031,1
N53,Bas.my,R1705031_T8,R1705031,1
N53,Bas.my,R1705031_T9,R1705031,1
N53,Bas.my,R1705031_T10,R1705031,1
N53,Bas.my,R1705031_T11,R1705031,1
N53,Bas.my,R1705031_T12,R1705031,1
N53,Bas.my,R1705031_T13,R1705031,1
N53,Bas.my,R1705031_T14,R1705031,1
N53,Bas.my,R1705031_T15,R1705031,1
N53,Bas.my,R1705031_T16,R1705031,1
N53,Bas.my,R1705031_T17,R1705031,1
N53,Bas.my,R1705031_T18,R1705031,1
N53,Bas.my,R1705031_T19,R1705031,1
